Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F02b,ALWM01F02b,ALWM01F02b,06/30/2012,07/11/2012,12,720,827,2,0,Construct,.,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F02a,ALWM01F02a,ALWM01F02a,07/11/2012,07/11/2012,1,357,380,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F01b,ALWM01F01b,ALWM01F01b,07/17/2012,03/13/2013,240,658,510,2,-237,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,F01a,ALWM01F01a,ALWM01F01a,07/19/2012,03/04/2013,229,410,412,2,42,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C06a,ALWM01C06a,ALWM01C06a,04/15/2013,04/15/2013,1,72,45,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C06b,ALWM01C06b,ALWM01C06b,04/15/2013,04/15/2013,1,48,59,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C05b,ALWM01C05b,ALWM01C05b,04/25/2013,04/25/2013,1,360,357,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C04b,ALWM01C04b,ALWM01C04b,05/03/2013,05/04/2013,2,508,441,2,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C05a,ALWM01C05a,ALWM01C05a,05/06/2013,05/06/2013,1,88,70,1,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C03b,ALWM01C03b,ALWM01C03b,05/08/2013,05/09/2013,2,160,208,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C04a,ALWM01C04a,ALWM01C04a,05/13/2013,05/13/2013,1,88,73,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C03a,ALWM01C03a,ALWM01C03a,05/21/2013,05/21/2013,1,40,33,1,15,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C02,ALWM01C02,ALWM01C02,06/05/2013,06/06/2013,2,304,342,2,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,C01,ALWM01C01,ALWM01C01,06/12/2013,06/13/2013,2,1052,1038,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W08,ALWM01W08,ALWM01W08,06/20/2013,06/20/2013,1,208,218,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W07,ALWM01W07,ALWM01W07,06/27/2013,06/28/2013,2,452,432,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W06,ALWM01W06,ALWM01W06,07/05/2013,07/05/2013,1,400,380,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W05,ALWM01W05,ALWM01W05,07/16/2013,07/16/2013,1,357,328,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W04,ALWM01W04,ALWM01W04,07/22/2013,07/22/2013,1,298,276,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W03b,ALWM01W03b,ALWM01W03b,07/29/2013,07/29/2013,1,202,172,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W03a,ALWM01W03a,ALWM01W03a,08/07/2013,08/07/2013,1,146,144,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W02,ALWM01W02,ALWM01W02,08/13/2013,08/13/2013,1,116,111,1,539,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M01,W01,ALWM01W01,ALWM01W01,02/03/2015,02/03/2015,1,47,51,1,-1022,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F03,ALWM02F03,ALWM02F03,04/17/2012,04/18/2012,2,1134,1000,2,-1,Construct,Code 03.,"Lift ""F02+F03"" will be divided in ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,A-P-S-3220-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F02,ALWM02F02,ALWM02F02,04/17/2012,04/18/2012,2,0,0,0,13,Construct,Code 03.,"Lift ""F02+F03"" will be divided in ""F02"" and ""F03"".    All quantities will be assigned to ""F03"".",Code 03a.,A-P-S-3220-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M02,F01,ALWM02F01,ALWM02F01,05/01/2012,02/05/2013,281,629,846,3,-206,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04a,ALWM02C04a,ALWM02C04a,07/14/2012,07/14/2012,1,133,104,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03a,ALWM02C03a,ALWM02C03a,07/21/2012,07/21/2012,1,118,107,1,228,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04b,ALWM02C04b,ALWM02C04b,03/06/2013,03/07/2013,2,504,484,2,-1,Construct,Code 03.,"Lift ""C04 b&c"" will be divided in ""C04b"" and ""C04c"".    All quantities will be assigned to ""C04b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C04c,ALWM02C04c,ALWM02C04c,03/06/2013,03/07/2013,2,0,0,0,6,Construct,Code 03.,"Lift ""C04 b&c"" will be divided in ""C04b"" and ""C04c"".    All quantities will be assigned to ""C04b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03b,ALWM02C03b,ALWM02C03b,03/13/2013,03/14/2013,2,548,523,2,-1,Construct,Code 03.,"Lift ""C03 b&c"" will be divided in ""C03b"" and ""C03c"".    All quantities will be assigned to ""C03b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C03c,ALWM02C03c,ALWM02C03c,03/13/2013,03/14/2013,2,0,0,0,5,Construct,Code 03.,"Lift ""C03 b&c"" will be divided in ""C03b"" and ""C03c"".    All quantities will be assigned to ""C03b"".",Code 03a.,A-P-S-3221-0002,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C02,ALWM02C02,ALWM02C02,03/19/2013,03/20/2013,2,316,305,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,C01,ALWM02C01,ALWM02C01,03/23/2013,03/23/2013,1,924,955,1,129,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W07,ALWM02W07,ALWM02W07,07/30/2013,07/31/2013,2,453,398,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W06,ALWM02W06,ALWM02W06,08/07/2013,08/08/2013,2,338,349,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W05,ALWM02W05,ALWM02W05,08/15/2013,08/15/2013,1,336,300,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W04,ALWM02W04,ALWM02W04,08/22/2013,08/22/2013,1,263,252,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W03b,ALWM02W03b,ALWM02W03b,09/02/2013,09/02/2013,1,167,161,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W03a,ALWM02W03a,ALWM02W03a,09/09/2013,09/09/2013,1,112,145,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W02,ALWM02W02,ALWM02W02,09/16/2013,09/17/2013,2,111,124,2,296,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M02,W01,ALWM02W01,ALWM02W01,07/10/2014,07/11/2014,2,80,77,2,-780,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,F02,ALWM03F02,ALWM03F02,05/22/2012,05/23/2012,2,1056,999,2,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,F01,ALWM03F01,ALWM03F01,06/01/2012,11/17/2012,170,880,817,4,-133,Construct,Code 02.,"Joining lift ""F01"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3240-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C04a,ALWM03C04a,ALWM03C04a,07/07/2012,07/07/2012,1,134,103,1,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C03a,ALWM03C03a,ALWM03C03a,07/11/2012,07/11/2012,1,123,106,1,112,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C04b,ALWM03C04b,ALWM03C04b,10/31/2012,11/01/2012,2,200,198,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C03b,ALWM03C03b,ALWM03C03b,11/12/2012,11/12/2012,1,224,206,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C04c,ALWM03C04c,ALWM03C04c,11/29/2012,11/29/2012,1,88,63,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C03c,ALWM03C03c,ALWM03C03c,12/11/2012,12/11/2012,1,80,79,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C02,ALWM03C02,ALWM03C02,12/18/2012,12/18/2012,1,280,283,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,C01,ALWM03C01,ALWM03C01,12/27/2012,12/27/2012,1,948,956,1,48,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W07,ALWM03W07,ALWM03W07,02/13/2013,02/13/2013,1,420,399,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W06,ALWM03W06,ALWM03W06,02/25/2013,02/25/2013,1,328,350,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W05,ALWM03W05,ALWM03W05,03/04/2013,03/04/2013,1,328,301,1,14,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W04,ALWM03W04,ALWM03W04,03/18/2013,03/18/2013,1,312,252,1,43,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W03b,ALWM03W03b,ALWM03W03b,04/30/2013,04/30/2013,1,160,156,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W03a,ALWM03W03a,ALWM03W03a,05/17/2013,05/17/2013,1,148,137,1,134,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W02,ALWM03W02,ALWM03W02,09/28/2013,09/29/2013,2,131,114,2,499,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M03,W01,ALWM03W01,ALWM03W01,02/10/2015,02/10/2015,1,80,74,1,-1034,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,F02,ALWM04F02,ALWM04F02,04/12/2012,04/13/2012,2,624,611,2,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,F01,ALWM04F01,ALWM04F01,04/24/2012,10/17/2012,177,576,503,5,-116,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3260-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C04a,ALWM04C04a,ALWM04C04a,06/23/2012,06/23/2012,1,68,63,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C04b,ALWM04C04b,ALWM04C04b,06/29/2012,06/29/2012,1,141,133,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C03b,ALWM04C03b,ALWM04C03b,07/04/2012,07/04/2012,1,136,128,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C03a,ALWM04C03a,ALWM04C03a,07/04/2012,07/04/2012,1,102,67,1,121,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C04c,ALWM04C04c,ALWM04C04c,11/02/2012,11/02/2012,1,48,40,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C03c,ALWM04C03c,ALWM04C03c,11/08/2012,11/08/2012,1,64,49,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C02,ALWM04C02,ALWM04C02,11/19/2012,11/19/2012,1,228,175,1,16,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,C01,ALWM04C01,ALWM04C01,12/05/2012,12/06/2012,2,576,589,2,88,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W07,ALWM04W07,ALWM04W07,03/04/2013,03/05/2013,2,272,251,2,101,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W06,ALWM04W06,ALWM04W06,06/14/2013,06/14/2013,1,223,221,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W05,ALWM04W05,ALWM04W05,06/19/2013,06/20/2013,2,200,191,2,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W04,ALWM04W04,ALWM04W04,06/26/2013,06/27/2013,2,165,161,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W03b,ALWM04W03b,ALWM04W03b,07/04/2013,07/04/2013,1,108,156,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W03a,ALWM04W03a,ALWM04W03a,07/13/2013,07/13/2013,1,87,84,1,9,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W02,ALWM04W02,ALWM04W02,07/22/2013,07/22/2013,1,63,65,1,579,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M04,W01,ALWM04W01,ALWM04W01,02/21/2015,02/21/2015,1,37,35,1,-648,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,F03,ALWM05F03,ALWM05F03,05/14/2013,05/16/2013,3,1157,779,4,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,F02,ALWM05F02,ALWM05F02,05/20/2013,05/22/2013,3,966,1057,3,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,F01,ALWM05F01,ALWM05F01,05/25/2013,08/17/2013,85,1072,1130,3,12,Construct,Code 02.,"Joining lift ""F01"", ""F01 c"" and ""F01 a&b"", under the name of ""F01"".",Code 02a.,A-P-S-3280-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C04a,ALWM05C04a,ALWM05C04a,08/29/2013,08/30/2013,2,143,128,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C04c,ALWM05C04c,ALWM05C04c,09/02/2013,09/02/2013,1,64,77,1,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C03a,ALWM05C03a,ALWM05C03a,09/03/2013,09/04/2013,2,154,162,2,2,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C03c,ALWM05C03c,ALWM05C03c,09/06/2013,09/07/2013,2,100,107,2,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C04b,ALWM05C04b,ALWM05C04b,09/12/2013,09/12/2013,1,256,242,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C03b,ALWM05C03b,ALWM05C03b,09/18/2013,09/18/2013,1,317,281,1,5,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C02,ALWM05C02,ALWM05C02,09/23/2013,09/23/2013,1,457,392,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,C01,ALWM05C01,ALWM05C01,09/26/2013,09/28/2013,3,1313,1322,3,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W07,ALWM05W07,ALWM05W07,10/09/2013,10/10/2013,2,579,547,2,16,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W06,ALWM05W06,ALWM05W06,10/26/2013,10/26/2013,1,516,483,1,11,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W05,ALWM05W05,ALWM05W05,11/06/2013,11/07/2013,2,458,411,2,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W04,ALWM05W04,ALWM05W04,11/19/2013,11/20/2013,2,328,344,2,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W03b,ALWM05W03b,ALWM05W03b,12/03/2013,12/03/2013,1,231,221,1,10,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W03a,ALWM05W03a,ALWM05W03a,12/13/2013,12/14/2013,2,234,201,2,24,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W02,ALWM05W02,ALWM05W02,01/07/2014,01/07/2014,1,208,175,1,417,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M05,W01,ALWM05W01,ALWM05W01,02/28/2015,02/28/2015,1,109,100,1,-639,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,F02,ALWM06F02,ALWM06F02,05/30/2013,05/31/2013,2,580,594,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,F01,ALWM06F01,ALWM06F01,06/04/2013,08/23/2013,81,517,491,5,24,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3300-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04a,ALWM06C04a,ALWM06C04a,09/16/2013,09/16/2013,1,56,63,1,0,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04c,ALWM06C04c,ALWM06C04c,09/16/2013,09/16/2013,1,48,47,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03c,ALWM06C03c,ALWM06C03c,09/19/2013,09/19/2013,1,76,49,1,1,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03a,ALWM06C03a,ALWM06C03a,09/20/2013,09/20/2013,1,53,65,1,6,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C04b,ALWM06C04b,ALWM06C04b,09/26/2013,09/26/2013,1,144,96,1,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C03b,ALWM06C03b,ALWM06C03b,10/03/2013,10/03/2013,1,124,113,1,8,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C02,ALWM06C02,ALWM06C02,10/11/2013,10/12/2013,2,183,170,2,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,C01,ALWM06C01,ALWM06C01,10/15/2013,10/16/2013,2,603,575,2,29,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W07,ALWM06W07,ALWM06W07,11/14/2013,11/15/2013,2,265,233,2,13,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W06,ALWM06W06,ALWM06W06,11/28/2013,11/28/2013,1,198,204,1,12,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W05,ALWM06W05,ALWM06W05,12/10/2013,12/10/2013,1,187,172,1,20,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W04,ALWM06W04,ALWM06W04,12/30/2013,12/30/2013,1,156,141,1,17,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W03b,ALWM06W03b,ALWM06W03b,01/16/2014,01/16/2014,1,96,90,1,19,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W03a,ALWM06W03a,ALWM06W03a,02/04/2014,02/04/2014,1,104,84,1,32,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W02,ALWM06W02,ALWM06W02,03/08/2014,03/08/2014,1,90,77,1,72,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M06,W01,ALWM06W01,ALWM06W01,05/19/2014,05/19/2014,1,40,40,1,-201,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,F02,ALWM07F02,ALWM07F02,10/30/2013,10/31/2013,2,969,965,2,7,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,F01,ALWM07F01,ALWM07F01,11/07/2013,11/27/2013,21,1037,1026,6,1,Construct,Code 02.,"Joining lift ""F01"", ""F01 a"", ""F01 b"" and ""F01 c"", under the name of ""F01"".",Code 02a.,A-P-S-3320-0001,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C04c,ALWM07C04c,ALWM07C04c,11/28/2013,11/29/2013,2,117,107,2,4,Construct,,,,,,,,,,,,,,,,,,,,,,,,
A,LW,M07,C04a,ALWM07C04a,ALWM07C04a,12/03/2013,12/03/2013,1,152,143,1,3,Construct,,,,,,,,,,,,,,,,,,,,,,,,
