Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M16,C01,PMWM16C01,PMWM16C01,12/19/2012,01/04/2013,17,955,999,3,193,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2501-0002,"entry has no subdivisions in model, joining pours",
P,MW,M16,W09,PMWM16W09,PMWM16W09,07/16/2013,07/17/2013,2,529,494,2,17,Construct,,,,,,
P,MW,M16,W08,PMWM16W08,PMWM16W08,08/03/2013,08/03/2013,1,424,419,1,19,Construct,,,,,,
P,MW,M16,W07,PMWM16W07,PMWM16W07,08/22/2013,08/23/2013,2,356,344,2,12,Construct,,,,,,
P,MW,M16,W06,PMWM16W06,PMWM16W06,09/04/2013,09/05/2013,2,273,279,2,268,Construct,,,,,,
P,MW,M16,W05,PMWM16W05,PMWM16W05,05/31/2014,05/31/2014,1,286,273,1,1,Construct,,,,,,
P,MW,M16,W04,PMWM16W04,PMWM16W04,06/01/2014,06/01/2014,1,0,0,0,8,Construct,Code 01.,"A new row was  created under the name of ""W04"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-2501-0002,,
P,MW,M16,W03b,PMWM16W03b,PMWM16W03b,06/09/2014,06/16/2014,8,416,444,2,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2503-0002,,
P,MW,M16,W03a,PMWM16W03a,PMWM16W03a,06/17/2014,06/17/2014,1,0,0,0,9,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2503-0002,,
P,MW,M16,W02,PMWM16W02,PMWM16W02,06/26/2014,06/26/2014,1,168,175,1,49,Construct,,,,,,
P,MW,M16,W01,PMWM16W01,PMWM16W01,08/14/2014,10/29/2014,77,93,95,2,-1069,Construct,,,,,,
P,MW,M17,F03,PMWM17F03,PMWM17F03,11/25/2011,11/25/2011,1,467,429,1,27,Construct,,,,,,
P,MW,M17,F02,PMWM17F02,PMWM17F02,12/22/2011,12/22/2011,1,824,787,1,16,Construct,,,,,,
P,MW,M17,F01,PMWM17F01,PMWM17F01,01/07/2012,01/08/2012,2,848.16,851,2,74,Construct,,,,,,
P,MW,M17,C04 a,PMWM17C04a,PMWM17C04a,03/22/2012,03/23/2012,2,192,192,2,6,Construct,,,,,,
P,MW,M17,C04 c,PMWM17C04c,PMWM17C04c,03/29/2012,03/29/2012,1,97,97,1,19,Construct,,,,,,
P,MW,M17,C03 a,PMWM17C03a,PMWM17C03a,04/17/2012,04/17/2012,1,201,201,1,10,Construct,,,,,,
P,MW,M17,C04 b,PMWM17C04b,PMWM17C04b,04/27/2012,04/28/2012,2,222,127,2,0,Construct,,,,,,
P,MW,M17,C03 c,PMWM17C03c,PMWM17C03c,04/28/2012,04/28/2012,1,88,88,1,30,Construct,,,,,,
P,MW,M17,C03 b,PMWM17C03b,PMWM17C03b,05/28/2012,05/28/2012,1,250,155,1,152,Construct,,,,,,
P,MW,M17,C02,PMWM17C02,PMWM17C02,10/27/2012,10/27/2012,1,292,299,1,11,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M17,C01,PMWM17C01,PMWM17C01,11/07/2012,11/20/2012,14,1043,999,3,311,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2521-0002,,
P,MW,M17,W09,PMWM17W09,PMWM17W09,09/27/2013,09/28/2013,2,504,494,2,13,Construct,,,,,,
P,MW,M17,W08,PMWM17W08,PMWM17W08,10/11/2013,10/12/2013,2,488,419,2,10,Construct,,,,,,
P,MW,M17,W07,PMWM17W07,PMWM17W07,10/22/2013,10/23/2013,2,401,350,2,16,Construct,,,,,,
P,MW,M17,W06,PMWM17W06,PMWM17W06,11/08/2013,11/08/2013,1,285,279,1,132,Construct,,,,,,
P,MW,M17,W05,PMWM17W05,PMWM17W05,03/20/2014,03/20/2014,1,256,281,1,12,Construct,,,,,,
P,MW,M17,W04,PMWM17W04,PMWM17W04,04/01/2014,04/01/2014,1,236,233,1,11,Construct,,,,,,
P,MW,M17,W03b,PMWM17W03b,PMWM17W03b,04/12/2014,04/12/2014,1,189,211,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2523-0002,,
P,MW,M17,W03a,PMWM17W03a,PMWM17W03a,04/13/2014,04/13/2014,1,0,0,0,32,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2523-0002,,
P,MW,M17,W02,PMWM17W02,PMWM17W02,05/15/2014,05/15/2014,1,184,175,1,106,Construct,,,,,,
P,MW,M17,W01,PMWM17W01,PMWM17W01,08/29/2014,10/23/2014,56,69,79,2,-860,Construct,,,,,,
P,MW,M18,F03,PMWM18F03,PMWM18F03,06/15/2012,06/16/2012,2,376,248,2,25,Construct,,,,,,
P,MW,M18,F02,PMWM18F02,PMWM18F02,07/11/2012,07/12/2012,2,445,473,2,6,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M18,F01,PMWM18F01,PMWM18F01,07/18/2012,01/17/2013,184,602,513,5,14,Construct,Code 02.,"Joining ""F01"", ""F01a"", ""F01b"" and ""F01c"" under the name of ""F01""",Code 02a.,P-P-S-2540-0001,,
P,MW,M18,C04 b,PMWM18C04b,PMWM18C04b,01/31/2013,01/31/2013,1,125,111,1,9,Construct,,,,,,
P,MW,M18,C04 c,PMWM18C04c,PMWM18C04c,02/09/2013,02/09/2013,1,53,46,1,12,Construct,,,,,,
P,MW,M18,C03 b,PMWM18C03b,PMWM18C03b,02/21/2013,02/22/2013,2,100,94,2,6,Construct,,,,,,
P,MW,M18,C04 a,PMWM18C04a,PMWM18C04a,02/28/2013,02/28/2013,1,97,94,1,0,Construct,,,,,,
P,MW,M18,C03 c,PMWM18C03c,PMWM18C03c,02/28/2013,02/28/2013,1,56,46,1,7,Construct,,,,,,
P,MW,M18,C03 a,PMWM18C03a,PMWM18C03a,03/07/2013,03/07/2013,1,120,94,1,16,Construct,,,,,,
P,MW,M18,C02,PMWM18C02,PMWM18C02,03/23/2013,03/23/2013,1,204,179,1,13,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M18,C01,PMWM18C01,PMWM18C01,04/05/2013,04/20/2013,16,658,642,3,91,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2540-0001,,
P,MW,M18,W09,PMWM18W09,PMWM18W09,07/20/2013,07/20/2013,1,329,293,1,16,Construct,,,,,,
P,MW,M18,W08,PMWM18W08,PMWM18W08,08/05/2013,08/06/2013,2,264,247,2,18,Construct,,,,,,
P,MW,M18,W07,PMWM18W07,PMWM18W07,08/24/2013,08/24/2013,1,208,202,1,275,Construct,,,,,,
P,MW,M18,W06,PMWM18W06,PMWM18W06,05/26/2014,05/26/2014,1,170,160,1,8,Construct,,,,,,
P,MW,M18,W05,PMWM18W05,PMWM18W05,06/03/2014,06/03/2014,1,160,161,1,8,Construct,,,,,,
P,MW,M18,W04,PMWM18W04,PMWM18W04,06/11/2014,06/11/2014,1,120,130,1,21,Construct,,,,,,
P,MW,M18,W03b,PMWM18W03b,PMWM18W03b,07/02/2014,07/02/2014,1,136,132,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2543-0001,,
P,MW,M18,W03a,PMWM18W03a,PMWM18W03a,07/03/2014,07/03/2014,1,0,0,0,6,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2543-0001,,
P,MW,M18,W02,PMWM18W02,PMWM18W02,07/09/2014,07/09/2014,1,112,121,1,69,Construct,,,,,,
P,MW,M18,W01,PMWM18W01,PMWM18W01,09/16/2014,10/24/2014,39,47,54,2,-472,Construct,,,,,,
P,MW,M19,F02,PMWM19F02,PMWM19F02,07/09/2013,07/10/2013,2,932,1005,2,16,Construct,,,,,,
P,MW,M19,F01,PMWM19F01,PMWM19F01,07/26/2013,07/27/2013,2,1084,1075,2,11,Construct,,,,,,
P,MW,M19,C04 a,PMWM19C04a,PMWM19C04a,08/07/2013,08/07/2013,1,311,213,1,0,Construct,,,,,,
P,MW,M19,C04 b,PMWM19C04b,PMWM19C04b,08/07/2013,08/29/2013,23,265,217,2,-1,Construct,,,,,,
P,MW,M19,C03 a,PMWM19C03a,PMWM19C03a,08/28/2013,08/29/2013,2,324,213,2,20,Construct,,,,,,
P,MW,M19,C03 b,PMWM19C03b,PMWM19C03b,09/18/2013,09/19/2013,2,273,257,2,-1,Construct,,,,,,
P,MW,M19,C04 c,PMWM19C04c,PMWM19C04c,09/18/2013,09/18/2013,1,108,106,1,14,Construct,,,,,,
P,MW,M19,C03 c,PMWM19C03c,PMWM19C03c,10/02/2013,10/02/2013,1,113,106,1,26,Construct,,,,,,
P,MW,M19,C02,PMWM19C02,PMWM19C02,10/28/2013,10/29/2013,2,519,519,2,2,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M19,C01,PMWM19C01,PMWM19C01,10/31/2013,11/13/2013,14,1334,1354,4,13,Construct,Code 02.,"Joining ""C01B"" and ""C01 a+b"" under the name of ""C01""",Code 02a.,P-P-S-2561-0002,,
P,MW,M19,W09,PMWM19W09,PMWM19W09,11/26/2013,11/26/2013,1,610,649,1,10,Construct,,,,,,
P,MW,M19,W08,PMWM19W08,PMWM19W08,12/06/2013,12/07/2013,2,530,545,2,19,Construct,,,,,,
P,MW,M19,W07,PMWM19W07,PMWM19W07,12/26/2013,12/27/2013,2,432.06,441,2,33,Construct,,,,,,
P,MW,M19,W06,PMWM19W06,PMWM19W06,01/29/2014,01/29/2014,1,356,353,1,63,Construct,,,,,,
P,MW,M19,W05,PMWM19W05,PMWM19W05,04/02/2014,04/02/2014,1,336,350,1,36,Construct,,,,,,
P,MW,M19,W04,PMWM19W04,PMWM19W04,05/08/2014,05/08/2014,1,293,281,1,18,Construct,,,,,,
P,MW,M19,W03b,PMWM19W03b,PMWM19W03b,05/26/2014,05/26/2014,1,280,293,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2563-0002,,
P,MW,M19,W03a,PMWM19W03a,PMWM19W03a,05/27/2014,05/27/2014,1,0,0,0,28,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2563-0002,,
P,MW,M19,W02,PMWM19W02,PMWM19W02,06/24/2014,06/25/2014,2,250,273,2,98,Construct,,,,,,
P,MW,M19,W01,PMWM19W01,PMWM19W01,10/01/2014,10/01/2014,1,113,97,1,-847,Construct,,,,,,
P,MW,M20,F03,PMWM20F03,PMWM20F03,06/06/2012,06/07/2012,2,488,414,2,11,Construct,,,,,,
P,MW,M20,F02,PMWM20F02,PMWM20F02,06/18/2012,06/19/2012,2,816,779,2,10,Construct,,,,,,
P,MW,M20,F01,PMWM20F01,PMWM20F01,06/29/2012,06/30/2012,2,852,840,2,94,Construct,,,,,,
P,MW,M20,C04 a,PMWM20C04a,PMWM20C04a,10/02/2012,10/02/2012,1,173,173,1,4,Construct,,,,,,
P,MW,M20,C04 c,PMWM20C04c,PMWM20C04c,10/06/2012,10/06/2012,1,105,105,1,11,Construct,,,,,,
P,MW,M20,C03 a,PMWM20C03a,PMWM20C03a,10/17/2012,10/17/2012,1,161,161,1,12,Construct,,,,,,
P,MW,M20,C03 c,PMWM20C03c,PMWM20C03c,10/29/2012,10/29/2012,1,73,73,1,18,Construct,,,,,,
P,MW,M20,C04 b,PMWM20C04b,PMWM20C04b,11/16/2012,11/17/2012,2,188.16,119,2,31,Construct,,,,,,
P,MW,M20,C03 b,PMWM20C03b,PMWM20C03b,12/18/2012,12/18/2012,1,192,193,1,34,Construct,,,,,,
P,MW,M20,C02,PMWM20C02,PMWM20C02,01/21/2013,01/21/2013,1,320,294,1,3,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M20,C01,PMWM20C01,PMWM20C01,01/24/2013,02/04/2013,12,974,999,3,51,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2581-0002,,
P,MW,M20,W09,PMWM20W09,PMWM20W09,03/27/2013,03/28/2013,2,526,479,2,33,Construct,,,,,,
P,MW,M20,W08,PMWM20W08,PMWM20W08,04/30/2013,05/01/2013,2,408,404,2,12,Construct,,,,,,
P,MW,M20,W07,PMWM20W07,PMWM20W07,05/13/2013,05/13/2013,1,337,329,1,16,Construct,,,,,,
P,MW,M20,W06,PMWM20W06,PMWM20W06,05/29/2013,05/30/2013,2,310,265,2,11,Construct,,,,,,
P,MW,M20,W05,PMWM20W05,PMWM20W05,06/10/2013,06/11/2013,2,305,266,2,11,Construct,,,,,,
P,MW,M20,W04,PMWM20W04,PMWM20W04,06/22/2013,06/22/2013,1,229,216,1,17,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M20,W03 b,PMWM20W03b,PMWM20W03b,07/09/2013,07/10/2013,2,157,139,2,388,Construct,,,,,,
P,MW,M20,W03 a,PMWM20W03a,PMWM20W03a,08/02/2014,08/02/2014,1,136,139,1,16,Construct,,,,,,
P,MW,M20,W02,PMWM20W02,PMWM20W02,08/18/2014,08/18/2014,1,120,195,1,54,Construct,,,,,,
P,MW,M20,W01,PMWM20W01,PMWM20W01,10/11/2014,10/11/2014,1,74,79,1,-1034,Construct,,,,,,
P,MW,M21,F03,PMWM21F03,PMWM21F03,12/12/2011,12/13/2011,2,522,429,2,43,Construct,,,,,,
P,MW,M21,F02,PMWM21F02,PMWM21F02,01/25/2012,01/26/2012,2,875,787,2,8,Construct,,,,,,
P,MW,M21,F01,PMWM21F01,PMWM21F01,02/03/2012,02/03/2012,1,865.54,851,1,60,Construct,,,,,,
P,MW,M21,C04 a,PMWM21C04a,PMWM21C04a,04/03/2012,04/03/2012,1,219,219,1,9,Construct,,,,,,
P,MW,M21,C04 c,PMWM21C04c,PMWM21C04c,04/12/2012,04/12/2012,1,99,99,1,28,Construct,,,,,,
P,MW,M21,C04 b,PMWM21C04b,PMWM21C04b,05/10/2012,05/11/2012,2,240,98,2,7,Construct,,,,,"model has wrong name, correct model",Fixed
P,MW,M21,C03 a,PMWM21C03a,PMWM21C03a,05/18/2012,05/19/2012,2,161,161,2,7,Construct,,,,,,
P,MW,M21,C03 c,PMWM21C03c,PMWM21C03c,05/26/2012,05/26/2012,1,84,84,1,9,Construct,,,,,,
P,MW,M21,C03 b,PMWM21C03b,PMWM21C03b,06/04/2012,06/04/2012,1,289,199,1,42,Construct,,,,,,
P,MW,M21,C02,PMWM21C02,PMWM21C02,07/16/2012,07/17/2012,2,327,299,2,6,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M21,C01,PMWM21C01,PMWM21C01,07/23/2012,07/29/2012,7,1032,999,3,10,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2601-0002,,
P,MW,M21,W09,PMWM21W09,PMWM21W09,08/08/2012,08/09/2012,2,529,494,2,9,Construct,,,,,,
P,MW,M21,W08,PMWM21W08,PMWM21W08,08/18/2012,08/18/2012,1,445,419,1,14,Construct,,,,,,
P,MW,M21,W07,PMWM21W07,PMWM21W07,09/01/2012,09/01/2012,1,349,344,1,16,Construct,,,,,,
P,MW,M21,W06,PMWM21W06,PMWM21W06,09/17/2012,09/17/2012,1,281,279,1,21,Construct,,,,,,
P,MW,M21,W05,PMWM21W05,PMWM21W05,10/08/2012,10/08/2012,1,325,281,1,14,Construct,,,,,,
P,MW,M21,W04,PMWM21W04,PMWM21W04,10/22/2012,10/23/2012,2,241,233,2,119,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M21,W03 b,PMWM21W03b,PMWM21W03b,02/19/2013,02/19/2013,1,152,139,1,534,Construct,,,,,,
P,MW,M21,W03 a,PMWM21W03a,PMWM21W03a,08/07/2014,08/07/2014,1,136,139,1,7,Construct,,,,,,
P,MW,M21,W02,PMWM21W02,PMWM21W02,08/14/2014,08/15/2014,2,103,97,2,90,Construct,,,,,,
P,MW,M21,W01,PMWM21W01,PMWM21W01,11/13/2014,11/13/2014,1,68,69,1,-1035,Construct,,,,,,
P,MW,M22,F03,PMWM22F03,PMWM22F03,01/13/2012,01/14/2012,2,528,429,2,31,Construct,,,,,,
P,MW,M22,F02,PMWM22F02,PMWM22F02,02/14/2012,02/14/2012,1,877.1,787,1,13,Construct,,,,,,
P,MW,M22,F01,PMWM22F01,PMWM22F01,02/27/2012,02/27/2012,1,808.22,851,1,58,Construct,,,,,,
P,MW,M22,C04 a,PMWM22C04a,PMWM22C04a,04/25/2012,04/25/2012,1,201,201,1,27,Construct,,,,,,
P,MW,M22,C04 c,PMWM22C04c,PMWM22C04c,05/22/2012,05/22/2012,1,98,98,1,13,Construct,,,,,,
P,MW,M22,C03 a,PMWM22C03a,PMWM22C03a,06/04/2012,06/05/2012,2,161,161,2,7,Construct,,,,,,
P,MW,M22,C04 b,PMWM22C04b,PMWM22C04b,06/12/2012,06/12/2012,1,216,117,1,3,Construct,,,,,,
P,MW,M22,C03 c,PMWM22C03c,PMWM22C03c,06/15/2012,06/16/2012,2,89,89,2,9,Construct,,,,,,
P,MW,M22,C03 b,PMWM22C03b,PMWM22C03b,06/25/2012,06/26/2012,2,214,194,2,57,Construct,,,,,,
P,MW,M22,C02,PMWM22C02,PMWM22C02,08/22/2012,08/23/2012,2,302,299,2,4,Construct,,,,,"entry has no subdivisions in model, joining pours",
P,MW,M22,C01,PMWM22C01,PMWM22C01,08/27/2012,09/07/2012,12,966,999,3,15,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2621-0002,,
P,MW,M22,W09,PMWM22W09,PMWM22W09,09/22/2012,09/22/2012,1,506,494,1,12,Construct,,,,,,
P,MW,M22,W08,PMWM22W08,PMWM22W08,10/04/2012,10/05/2012,2,443,419,2,10,Construct,,,,,,
P,MW,M22,W07,PMWM22W07,PMWM22W07,10/15/2012,10/15/2012,1,382,344,1,142,Construct,,,,,,
P,MW,M22,W06,PMWM22W06,PMWM22W06,03/06/2013,03/06/2013,1,264,280,1,465,Construct,,,,,,
P,MW,M22,W05,PMWM22W05,PMWM22W05,06/14/2014,06/14/2014,1,248,282,1,7,Construct,,,,,,
P,MW,M22,W04,PMWM22W04,PMWM22W04,06/21/2014,06/21/2014,1,224,232,1,14,Construct,,,,,,
P,MW,M22,W03b,PMWM22W03b,PMWM22W03b,07/05/2014,07/05/2014,1,190,277,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2623-0002,,
P,MW,M22,W03a,PMWM22W03a,PMWM22W03a,07/06/2014,07/06/2014,1,0,0,0,10,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2623-0002,,
P,MW,M22,W02,PMWM22W02,PMWM22W02,07/16/2014,07/17/2014,2,168,174,2,105,Construct,,,,,,
P,MW,M22,W01,PMWM22W01,PMWM22W01,10/30/2014,10/30/2014,1,64,69,1,-904,Construct,,,,,,
P,MW,M23,F03 b,PMWM23F03b,PMWM23F03b,05/09/2012,05/10/2012,2,636,570,2,5,Construct,,,,,,
P,MW,M23,F03 a,PMWM23F03a,PMWM23F03a,05/15/2012,05/15/2012,1,440,411,1,25,Construct,,,,,,
P,MW,M23,F02 a,PMWM23F02a,PMWM23F02a,06/09/2012,06/09/2012,1,416,450,1,9,Construct,,,,,,
P,MW,M23,F02 b,PMWM23F02b,PMWM23F02b,06/18/2012,06/18/2012,1,480,403,1,15,Construct,,,,,"model has also F01c, duplicating F01b and changing the duplicate to F01c",
P,MW,M23,F01 b,PMWM23F01b,PMWM23F01b,07/03/2012,07/04/2012,2,574,619,2,-24,Construct,,,,,,
P,MW,M23,F01 c,PMWM23F01c,PMWM23F01c,06/10/2012,06/10/2012,1,0,0,0,34,Construct,Code 01.,"A new row was  created under the name of ""F01c"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-2640-0002,,
P,MW,M23,F01 a,PMWM23F01a,PMWM23F01a,07/14/2012,05/29/2013,320,164,248,2,-295,Construct,,,,,"these entry has 2 entries poured together, dividing pour.  ""C04 b & C05 b"" is divided, all quantities are accounted in C04b.",
P,MW,M23,C04 b,PMWM23C04b,PMWM23C04b,08/07/2012,08/08/2012,2,445,332,2,-1,Construct,Code 03.,"Lift ""C04 b & C05 b"" will be separated into ""C04b"" and ""C05b"".  All quantities will be assigned to ""C04b"".",Code 03a.,P-P-S-2640-0002,"these entry has 2 entries poured together, dividing pour.  ""C04 b & C05 b"" is divided, all quantities are accounted in C04b.",
P,MW,M23,C05 b,PMWM23C05b,PMWM23C05b,08/07/2012,08/08/2012,2,0,0,0,315,Construct,Code 03.,"Lift ""C04 b & C05 b"" will be separated into ""C04b"" and ""C05b"".  All quantities will be assigned to ""C04b"".",Code 03a.,P-P-S-2640-0002,,
P,MW,M23,C03 b,PMWM23C03b,PMWM23C03b,06/19/2013,06/20/2013,2,378,296,3,14,Construct,,,,,,
P,MW,M23,C04 c,PMWM23C04c,PMWM23C04c,07/04/2013,07/04/2013,1,73,73,1,27,Construct,,,,,,
P,MW,M23,C05 a,PMWM23C05a,PMWM23C05a,07/31/2013,07/31/2013,1,145,113,1,16,Construct,,,,,,
P,MW,M23,C04 a,PMWM23C04a,PMWM23C04a,08/16/2013,08/16/2013,1,160,245,1,68,Construct,,,,,"these entry has 2 entries poured together, dividing pour.  ""C03a + C02a""  is divided, all quantities are accounted in C03a.",
P,MW,M23,C03 a,PMWM23C02a,PMWM23C02a,10/23/2013,10/23/2013,1,512,499,1,-125,Construct,Code 03.,"Lift ""C03 a & C02 a"" will be separated into ""C03a"" and ""C02a"".  All quantities will be assigned to ""C02a"".",Code 03a.,P-P-S-2640-0002,"these entry has 2 entries poured together, dividing pour.  ""C03a + C02a""  is divided, all quantities are accounted in C03a.",
P,MW,M23,C02 b,PMWM23C02b,PMWM23C02b,06/20/2013,06/20/2013,1,0,0,0,125,Construct,Code 01.,"A new row was  created under the name of ""C02b"" with 0 quantities and the date of the previous lift plus one day.",Code 01a.,P-P-S-2640-0002,,
P,MW,M23,C02 a,PMWM23C03a,PMWM23C03a,10/23/2013,10/23/2013,1,0,0,0,6,Construct,Code 03.,"Lift ""C03 a & C02 a"" will be separated into ""C03a"" and ""C02a"".  All quantities will be assigned to ""C02a"".",Code 03a.,P-P-S-2640-0002,"entry has no subdivisions in model, joining pours",
P,MW,M23,C01,PMWM23C01,PMWM23C01,10/29/2013,11/12/2013,15,1201,1248,3,67,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2640-0002,,
P,MW,M23,W09,PMWM23W09,PMWM23W09,01/18/2014,01/18/2014,1,555,567,1,17,Construct,,,,,,
P,MW,M23,W08,PMWM23W08,PMWM23W08,02/04/2014,02/04/2014,1,473,486,1,42,Construct,,,,,,
P,MW,M23,W07,PMWM23W07,PMWM23W07,03/18/2014,03/18/2014,1,392,405,1,13,Construct,,,,,,
P,MW,M23,W06,PMWM23W06,PMWM23W06,03/31/2014,03/31/2014,1,353,320,1,21,Construct,,,,,,
P,MW,M23,W05,PMWM23W05,PMWM23W05,04/21/2014,04/21/2014,1,310,324,1,23,Construct,,,,,,
P,MW,M23,W04,PMWM23W04,PMWM23W04,05/14/2014,05/14/2014,1,266,266,1,8,Construct,,,,,,
P,MW,M23,W03b,PMWM23W03b,PMWM23W03b,05/22/2014,05/22/2014,1,224,245,1,1,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2642-0002,,
P,MW,M23,W03a,PMWM23W03a,PMWM23W03a,05/23/2014,05/23/2014,1,0,0,0,11,Construct,Code 03.,"Lift ""W03"" will be divided into ""W03a"" and ""W03b"".  All quantities will be assigned to ""W03b"".",Code 03a.,P-P-S-2642-0002,,
P,MW,M23,W02,PMWM23W02,PMWM23W02,06/03/2014,06/03/2014,1,192,192,1,120,Construct,,,,,,
P,MW,M23,W01,PMWM23W01,PMWM23W01,10/01/2014,10/02/2014,2,80,72,2,,Construct,,,,,,
