Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M08,W02,PUEM08W02,PUEM08W02,10/11/2013,10/12/2013,2,178,172,2,360,Construct,,,,,,,
P,UE,M08,W01,PUEM08W01,PUEM08W01,10/7/2014,10/8/2014,2,76,75,2,-1138,Construct,,,,,,,
P,UE,M09,F02,PUEM09F02,PUEM09F02,8/27/2011,8/27/2011,1,678,658,1,18,Construct,,,,,,,
P,UE,M09,F01,PUEM09F01,PUEM09F01,9/14/2011,9/27/2011,14,926,918,2,14,Construct,Code 02.,"Joining ""F01"" and ""F01 Chamfer"" under the name of ""F01"".",Code 02a.,P-P-S-1901-0001,,,"Joining poors to account Lift ""F01 Chamfer""."
P,UE,M09,C04a,PUEM09C04a,PUEM09C04a,10/11/2011,10/11/2011,1,232,232,1,87,Construct,,,,,model is not divided. Fix model,MODEL IS CORRECT,
P,UE,M09,C04b,PUEM09C04b,PUEM09C04b,1/6/2012,1/6/2012,1,200.04,103,1,-93,Construct,,,,,,,
P,UE,M09,C04c,PUEM09C04c,PUEM09C04c,10/5/2011,10/5/2011,1,80,80,1,22,Construct,,,,,,,
P,UE,M09,C03a,PUEM09C03a,PUEM09C03a,10/27/2011,10/28/2011,2,176,176,2,88,Construct,,,,,,,
P,UE,M09,C03b,PUEM09C03b,PUEM09C03b,1/24/2012,1/24/2012,1,211,189,1,-98,Construct,,,,,,,
P,UE,M09,C03c,PUEM09C03c,PUEM09C03c,10/18/2011,10/18/2011,1,80,80,1,118,Construct,,,,,,,
P,UE,M09,C02,PUEM09C02,PUEM09C02,2/13/2012,2/13/2012,1,302,299,1,14,Construct,,,,,,,
P,UE,M09,C01,PUEM09C01,PUEM09C01,2/27/2012,3/8/2012,11,1012.16,999,3,14,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1900-0002,"model has only one part, joining a and b in the table",,
P,UE,M09,W09,PUEM09W09,PUEM09W09,3/22/2012,3/23/2012,2,508,494,2,7,Construct,,,,,,,
P,UE,M09,W08,PUEM09W08,PUEM09W08,3/30/2012,3/31/2012,2,408,417,2,19,Construct,,,,,,,
P,UE,M09,W07,PUEM09W07,PUEM09W07,4/19/2012,4/20/2012,2,366,344,2,11,Construct,,,,,,,
P,UE,M09,W06,PUEM09W06,PUEM09W06,5/1/2012,5/1/2012,1,272,260,1,22,Construct,,,,,,,
P,UE,M09,W05,PUEM09W05,PUEM09W05,5/23/2012,5/23/2012,1,288,274,1,7,Construct,,,,,,,
P,UE,M09,W04,PUEM09W04,PUEM09W04,5/30/2012,5/31/2012,2,208,206,2,14,Construct,,,,,,,
P,UE,M09,W03,PUEM09W03,PUEM09W03,6/14/2012,6/14/2012,1,197,189,1,13,Construct,,,,,,,
P,UE,M09,W02,PUEM09W02,PUEM09W02,6/27/2012,6/27/2012,1,160,169,1,40,Construct,,,,,,,
P,UE,M09,W01,PUEM09W01,PUEM09W01,8/6/2012,12/2/2014,849,81,88,2,-1166,Construct,,,,,,,
P,UE,M10,F02,PUEM10F02,PUEM10F02,9/23/2011,9/23/2011,1,691.5,665,1,7,Construct,,,,,,,
P,UE,M10,F01,PUEM10F01,PUEM10F01,9/30/2011,9/30/2011,1,936,917,1,17,Construct,,,,,,,
P,UE,M10,C04a,PUEM10C04a,PUEM10C04a,10/17/2011,10/17/2011,1,248,248,1,102,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C04b,PUEM10C04b,PUEM10C04b,1/27/2012,1/27/2012,1,216,88,1,-98,Construct,,,,,,,
P,UE,M10,C04c,PUEM10C04c,PUEM10C04c,10/21/2011,10/21/2011,1,80,80,1,20,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C03a,PUEM10C03a,PUEM10C03a,11/10/2011,11/10/2011,1,168,168,1,86,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C03b,PUEM10C03b,PUEM10C03b,2/4/2012,2/4/2012,1,208,196,1,-89,Construct,,,,,,,
P,UE,M10,C03c,PUEM10C03c,PUEM10C03c,11/7/2011,11/7/2011,1,80,80,1,161,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C02,PUEM10C02,PUEM10C02,4/16/2012,4/16/2012,1,312,299,1,8,Construct,,,,,,,
P,UE,M10,C01,PUEM10C01,PUEM10C01,4/24/2012,5/10/2012,17,994,999,2,12,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1921-0002,"model has only one part, joining a and b in the table",,
P,UE,M10,W09,PUEM10W09,PUEM10W09,5/22/2012,5/22/2012,1,516,494,1,13,Construct,,,,,,,
P,UE,M10,W08,PUEM10W08,PUEM10W08,6/4/2012,6/5/2012,2,392,419,2,9,Construct,,,,,,,
P,UE,M10,W07,PUEM10W07,PUEM10W07,6/14/2012,6/14/2012,1,346,344,1,11,Construct,,,,,,,
P,UE,M10,W06,PUEM10W06,PUEM10W06,6/25/2012,6/25/2012,1,268,260,1,8,Construct,,,,,,,
P,UE,M10,W05,PUEM10W05,PUEM10W05,7/3/2012,7/4/2012,2,270,275,2,27,Construct,,,,,,,
P,UE,M10,W04,PUEM10W04,PUEM10W04,7/31/2012,7/31/2012,1,216,206,1,15,Construct,,,,,,,
P,UE,M10,W03,PUEM10W03,PUEM10W03,8/15/2012,8/15/2012,1,188,189,1,14,Construct,,,,,,,
P,UE,M10,W02,PUEM10W02,PUEM10W02,8/29/2012,9/7/2012,10,176,170,3,11,Construct,,,,,,,
P,UE,M10,W01,PUEM10W01,PUEM10W01,9/18/2012,9/18/2012,1,63,58,1,-330,Construct,,,,,,,
P,UE,M11,F02,PUEM11F02,PUEM11F02,10/24/2011,10/24/2011,1,299,276,1,7,Construct,,,,,,,
P,UE,M11,F01,PUEM11F01,PUEM11F01,10/31/2011,11/1/2011,2,392,385,2,29,Construct,,,,,,,
P,UE,M11,C04a,PUEM11C04a,PUEM11C04a,11/30/2011,11/30/2011,1,74,43,1,-29,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M11,C04b,PUEM11C04b,PUEM11C04b,11/1/2011,11/1/2011,1,0,0,0,22,Construct,Code 01.,"A new row was created under the name of ""C04b"", with 0 quantities and with the dates of the preivous lift plus one day.",Code 01a.,P-P-S-1941-0001,,,
P,UE,M11,C04c,PUEM11C04c,PUEM11C04c,11/23/2011,11/26/2011,4,140,140,2,10,Construct,,,,,,,
P,UE,M11,C03a,PUEM11C03a,PUEM11C03a,12/6/2011,12/6/2011,1,72,72,1,-4,Construct,,,,,,,
P,UE,M11,C03b,PUEM11C03b,PUEM11C03b,12/2/2011,12/2/2011,1,96,96,1,7,Construct,,,,,,,
P,UE,M11,C03c,PUEM11C03c,PUEM11C03c,12/9/2011,12/9/2011,1,34,21,1,77,Construct,,,,,,,
P,UE,M11,C02,PUEM11C02,PUEM11C02,2/24/2012,2/24/2012,1,128,127,1,17,Construct,,,,,,,
P,UE,M11,C01,PUEM11C01,PUEM11C01,3/12/2012,3/12/2012,1,428,421,1,15,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1941-0001,"model has only one part, joining a and b in the table",,
P,UE,M11,W09,PUEM11W09,PUEM11W09,3/27/2012,3/27/2012,1,224,210,1,6,Construct,,,,,,,
P,UE,M11,W08,PUEM11W08,PUEM11W08,4/2/2012,4/2/2012,1,184,179,1,10,Construct,,,,,,,
P,UE,M11,W07,PUEM11W07,PUEM11W07,4/12/2012,4/12/2012,1,156,148,1,16,Construct,,,,,,,
P,UE,M11,W06,PUEM11W06,PUEM11W06,4/28/2012,4/28/2012,1,120,113,1,12,Construct,,,,,,,
P,UE,M11,W05,PUEM11W05,PUEM11W05,5/10/2012,5/10/2012,1,139,119,1,7,Construct,,,,,,,
P,UE,M11,W04,PUEM11W04,PUEM11W04,5/17/2012,5/18/2012,2,91,90,2,8,Construct,,,,,,,
P,UE,M11,W03,PUEM11W03,PUEM11W03,5/26/2012,5/26/2012,1,84,80,1,12,Construct,,,,,,,
P,UE,M11,W02,PUEM11W02,PUEM11W02,6/7/2012,6/7/2012,1,64,65,1,8,Construct,,,,,,,
P,UE,M11,W01,PUEM11W01,PUEM11W01,6/15/2012,6/15/2012,1,23,20,1,-189,Construct,,,,,,,
P,UE,M12,F02,PUEM12F02,PUEM12F02,12/9/2011,12/10/2011,2,1037,999,2,10,Construct,,,,,,,
P,UE,M12,F01a,PUEM12F01a,PUEM12F01a,12/20/2011,3/20/2012,92,767,767,3,-3,Construct,Code 02.,"Joining ""F01"" and ""F01a"" under the name of ""F01a"".",Code 02a.,P-P-S-1960-0002,"model has only one part, joining a,b,c in the table",,
P,UE,M12,F01b,PUEM12F01b,PUEM12F01b,3/17/2012,3/17/2012,1,144,87,2,37,Construct,Code 02.,"Joining ""F01b"" and ""F01c"" under the name of ""F01b"".",Code 02a.,P-P-S-1960-0002,"model has only one part, joining a,b,c in the table",,
P,UE,M12,C04a,PUEM12C04a,PUEM12C04a,4/23/2012,4/23/2012,1,168,164,1,-25,Construct,,,,,,,
P,UE,M12,C04b,PUEM12C04b,PUEM12C04b,3/29/2012,3/29/2012,1,197,194,1,35,Construct,,,,,,,
P,UE,M12,C04c,PUEM12C04c,PUEM12C04c,5/3/2012,5/3/2012,1,152,137,1,5,Construct,,,,,,,
P,UE,M12,C03a,PUEM12C03a,PUEM12C03a,5/8/2012,5/8/2012,1,176,176,1,-22,Construct,,,,,,,
P,UE,M12,C03b,PUEM12C03b,PUEM12C03b,4/16/2012,4/17/2012,2,210,210,2,34,Construct,,,,,,,
P,UE,M12,C03c,PUEM12C03c,PUEM12C03c,5/21/2012,5/21/2012,1,160,142,1,252,Construct,,,,,,,
P,UE,M12,C02,PUEM12C02,PUEM12C02,1/28/2013,1/29/2013,2,337,344,2,9,Construct,,,,,,,
P,UE,M12,C01,PUEM12C01,PUEM12C01,2/7/2013,2/20/2013,14,1091.24,1049,2,99,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1960-0002,"model has only one part, joining a and b in the table",,
P,UE,M12,W09,PUEM12W09,PUEM12W09,5/30/2013,5/31/2013,2,515,494,2,15,Construct,,,,,,,
P,UE,M12,W08,PUEM12W08,PUEM12W08,6/15/2013,6/15/2013,1,449,419,1,20,Construct,,,,,,,
P,UE,M12,W07,PUEM12W07,PUEM12W07,7/5/2013,7/5/2013,1,369,344,1,31,Construct,,,,,,,
P,UE,M12,W06,PUEM12W06,PUEM12W06,8/5/2013,8/6/2013,2,291,259,2,23,Construct,,,,,,,
P,UE,M12,W05,PUEM12W05,PUEM12W05,8/29/2013,8/29/2013,1,268,266,1,16,Construct,,,,,,,
P,UE,M12,W04,PUEM12W04,PUEM12W04,9/14/2013,9/14/2013,1,212,200,1,26,Construct,,,,,,,
P,UE,M12,W03,PUEM12W03,PUEM12W03,10/10/2013,10/11/2013,2,197,183,2,13,Construct,,,,,,,
P,UE,M12,W02,PUEM12W02,PUEM12W02,10/24/2013,10/24/2013,1,196,156,1,386,Construct,,,,,,,
P,UE,M12,W01,PUEM12W01,PUEM12W01,11/14/2014,11/14/2014,1,72,63,1,-1111,Construct,,,,,,,
P,UE,M13,F03,PUEM13F03,PUEM13F03,10/30/2011,11/2/2011,4,988,890,3,23,Construct,,,,,,,
P,UE,M13,F02,PUEM13F02,PUEM13F02,11/25/2011,11/25/2011,1,904,1030,1,41,Construct,,,,,,,
P,UE,M13,F01a,PUEM13F01a,PUEM13F01a,1/5/2012,2/17/2012,44,222,222,3,11,Construct,,,,,,,
P,UE,M13,F01b,PUEM13F01b,PUEM13F01b,2/28/2012,2/28/2012,1,288,46,1,-11,Construct,,,,,,,
P,UE,M13,F01c,PUEM13F01c,PUEM13F01c,2/17/2012,2/25/2012,9,61.98,61.98,2,12,Construct,Code 02.,"Joining ""F01c"" and ""F01c-S"" under the name of ""F01c"".",Code 02a.,P-P-S-1980-0002,"model has wrong name, needs correction",MODEL IS CORRECT,"Joining poors to account Lift ""F01 c-S"""
P,UE,M13,C04a,PUEM13C04a,PUEM13C04a,3/8/2012,3/8/2012,1,233,233,2,100,Construct,,,,,,,
P,UE,M13,C04b,PUEM13C04b,PUEM13C04b,6/16/2012,6/16/2012,1,300,300,1,-81,Construct,,,,,,,
P,UE,M13,C04c,PUEM13C04c,PUEM13C04c,3/27/2012,7/2/2012,98,153,132,3,-108,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M13,C03a,PUEM13C03a,PUEM13C03a,3/16/2012,3/17/2012,2,233,233,2,104,Construct,,,,,,,
P,UE,M13,C03b,PUEM13C03b,PUEM13C03b,6/29/2012,6/29/2012,1,312,304,1,-80,Construct,,,,,,,
P,UE,M13,C03c,PUEM13C03c,PUEM13C03c,4/10/2012,11/17/2012,222,169,88,4,117,Construct,,,,,,,
P,UE,M13,C02,PUEM13C02,PUEM13C02,3/14/2013,3/15/2013,2,473,484,2,6,Construct,,,,,,,
P,UE,M13,C01,PUEM13C01,PUEM13C01,3/21/2013,4/9/2013,20,1432,1290,2,39,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1981-0002,"model has only one part, joining a and b in the table",,
P,UE,M13,W09,PUEM13W09,PUEM13W09,5/18/2013,5/18/2013,1,497,501,1,17,Construct,,,,,,,
P,UE,M13,W08,PUEM13W08,PUEM13W08,6/4/2013,6/4/2013,1,466,425,1,48,Construct,,,,,,,
P,UE,M13,W07,PUEM13W07,PUEM13W07,7/22/2013,7/22/2013,1,337,351,1,102,Construct,,,,,,,
P,UE,M13,W06,PUEM13W06,PUEM13W06,11/1/2013,11/2/2013,2,281.75,266,2,11,Construct,,,,,,,
P,UE,M13,W05,PUEM13W05,PUEM13W05,11/13/2013,11/14/2013,2,294,292,2,7,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M13,W04,PUEM13W04,PUEM13W04,11/21/2013,11/21/2013,1,204,212,1,12,Construct,,,,,,,
P,UE,M13,W03,PUEM13W03,PUEM13W03,12/3/2013,12/3/2013,1,201,188,1,9,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M13,W02,PUEM13W02,PUEM13W02,12/12/2013,12/12/2013,1,153,153,1,299,Construct,,,,,,,
P,UE,M13,W01,PUEM13W01,PUEM13W01,10/7/2014,10/8/2014,2,63,52,2,-1028,Construct,,,,,,,
P,UE,M14,F02,PUEM14F02,PUEM14F02,12/15/2011,12/16/2011,2,1062,999,1,5,Construct,,,,,,,
P,UE,M14,F01a,PUEM14F01,PUEM14F01a,12/21/2011,12/22/2011,2,712,712,1,83,Construct,Code 05.,"Lift ""F01"" will be renamed a ""F01a"".",Code 05a.,P-P-S-2000-0002,,,Lift F01 is accounted as F01a
P,UE,M14,F01b,PUEM14F01,PUEM14F01b,3/14/2012,3/15/2012,2,172,142,3,35,Construct,Code 02.,"Joining lifts ""F01a"", ""F01b"" and ""F01c"" under the name of ""F01b"".",Code 02a.,P-P-S-2000-0002,,,"Lifts F01a, F01b and F01 c are accounted here as F01b"
P,UE,M14,C04a,PUEM14C04a,PUEM14C04a,4/19/2012,4/19/2012,1,168,165,1,-16,Construct,,,,,,,
P,UE,M14,C04b,PUEM14C04b,PUEM14C04b,4/3/2012,4/4/2012,2,198,194,1,52,Construct,,,,,,,
P,UE,M14,C04c,PUEM14C04c,PUEM14C04c,5/26/2012,5/26/2012,1,147,136,1,-2,Construct,,,,,,,
P,UE,M14,C03a,PUEM14C03a,PUEM14C03a,5/24/2012,5/24/2012,1,171,171,1,-6,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M14,C03b,PUEM14C03b,PUEM14C03b,5/18/2012,5/18/2012,1,200,200,1,32,Construct,,,,,,,
P,UE,M14,C03c,PUEM14C03c,PUEM14C03c,6/19/2012,6/19/2012,1,153,157,1,239,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M14,C02,PUEM14C02,PUEM14C02,2/13/2013,2/14/2013,2,361,320,2,8,Construct,,,,,,,
P,UE,M14,C01,PUEM14C01,PUEM14C01,2/22/2013,3/5/2013,12,1064,1049,1,63,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2001-0002,"model has only one part, joining a and b in the table",,
P,UE,M14,W09,PUEM14W09,PUEM14W09,5/7/2013,5/8/2013,2,665,494,2,13,Construct,,,,,,,
P,UE,M14,W08,PUEM14W08,PUEM14W08,5/21/2013,5/22/2013,2,425,419,2,19,Construct,,,,,,,
P,UE,M14,W07,PUEM14W07,PUEM14W07,6/10/2013,6/11/2013,2,352,344,2,48,Construct,,,,,,,
P,UE,M14,W06,PUEM14W06,PUEM14W06,7/29/2013,7/29/2013,1,250,260,1,30,Construct,,,,,,,
P,UE,M14,W05,PUEM14W05,PUEM14W05,8/28/2013,8/29/2013,2,281,274,2,15,Construct,,,,,,,
P,UE,M14,W04,PUEM14W04,PUEM14W04,9/13/2013,9/14/2013,2,237,201,2,12,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M14,W03,PUEM14W03,PUEM14W03,9/26/2013,9/27/2013,2,211,194,2,41,Construct,,,,,,,
P,UE,M14,W02,PUEM14W02,PUEM14W02,11/7/2013,11/8/2013,2,157,151,2,339,Construct,,,,,,,
P,UE,M14,W01,PUEM14W01,PUEM14W01,10/13/2014,10/13/2014,1,59,60,1,-1057,Construct,,,,,,,
P,UE,M15,F02,PUEM15F02,PUEM15F02,11/21/2011,11/21/2011,1,568,531,1,9,Construct,,,,,,,
P,UE,M15,F01,PUEM15F01,PUEM15F01,11/30/2011,11/30/2011,1,694,743,1,66,Construct,,,,,,,
P,UE,M15,C04a,PUEM15C04a,PUEM15C04a,2/4/2012,2/4/2012,1,152,152,1,6,Construct,,,,,,,
P,UE,M15,C04b,PUEM15C04b,PUEM15C04b,2/10/2012,2/10/2012,1,176,106,1,-1,Construct,,,,,,,
P,UE,M15,C04c,PUEM15C04c,PUEM15C04c,2/9/2012,2/9/2012,1,73,73,1,5,Construct,,,,,,,
P,UE,M15,C03a,PUEM15C03a,PUEM15C03a,2/14/2012,2/15/2012,2,161,161,2,15,Construct,,,,,,,
P,UE,M15,C03b,PUEM15C03b,PUEM15C03b,3/1/2012,3/1/2012,1,168,131,1,-7,Construct,,,,,,,
P,UE,M15,C03c,PUEM15C03c,PUEM15C03c,2/23/2012,2/23/2012,1,64,64,1,55,Construct,,,,,,,
P,UE,M15,C02,PUEM15C02,PUEM15C02,4/18/2012,4/19/2012,2,266,239,2,6,Construct,,,,,,,
P,UE,M15,C01,PUEM15C01,PUEM15C01,4/25/2012,5/10/2012,16,894,802,2,39,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2021-0002,"model has only one part, joining a and b in the table",,
P,UE,M15,W09,PUEM15W09,PUEM15W09,6/18/2012,6/19/2012,2,405,396,2,10,Construct,,,,,,,
P,UE,M15,W08,PUEM15W08,PUEM15W08,6/29/2012,6/30/2012,2,325,336,2,10,Construct,,,,,,,
P,UE,M15,W07,PUEM15W07,PUEM15W07,7/10/2012,7/10/2012,1,298,275,1,6,Construct,,,,,,,
P,UE,M15,W06,PUEM15W06,PUEM15W06,7/16/2012,7/16/2012,1,227,208,1,8,Construct,,,,,,,
P,UE,M15,W05,PUEM15W05,PUEM15W05,7/24/2012,7/24/2012,1,235,219,1,10,Construct,,,,,,,
P,UE,M15,W04,PUEM15W04,PUEM15W04,8/3/2012,8/3/2012,1,165,163,1,8,Construct,,,,,,,
P,UE,M15,W03,PUEM15W03,PUEM15W03,8/11/2012,8/11/2012,1,177,159,1,9,Construct,,,,,,,
P,UE,M15,W02,PUEM15W02,PUEM15W02,8/20/2012,8/20/2012,1,134,134,1,777,Construct,,,,,,,
P,UE,M15,W01,PUEM15W01,PUEM15W01,10/6/2014,10/6/2014,1,56,57,1,-1110,Construct,,,,,,,
P,UE,M16,F02,PUEM16F02,PUEM16F02,9/22/2011,9/22/2011,1,433,403,1,7,Construct,,,,,,,
P,UE,M16,F01,PUEM16F01,PUEM16F01,9/29/2011,10/11/2011,13,552,567,2,17,Construct,,,,,,,
P,UE,M16,C04a,PUEM16C04a,PUEM16C04a,10/28/2011,10/29/2011,2,118,118,2,13,Construct,,,,,,,
P,UE,M16,C04b,PUEM16C04b,PUEM16C04b,11/11/2011,11/11/2011,1,147,102,1,-16,Construct,,,,,,,
P,UE,M16,C04c,PUEM16C04c,PUEM16C04c,10/26/2011,10/26/2011,1,48,48,1,17,Construct,,,,,,,
P,UE,M16,C03a,PUEM16C03a,PUEM16C03a,11/12/2011,11/12/2011,1,104,104,1,4,Construct,,,,,,,
P,UE,M16,C03b,PUEM16C03b,PUEM16C03b,11/16/2011,11/16/2011,1,134,123,1,-5,Construct,,,,,,,
P,UE,M16,C03c,PUEM16C03c,PUEM16C03c,11/11/2011,11/11/2011,1,50,50,1,119,Construct,,,,,,,
P,UE,M16,C02,PUEM16C02,PUEM16C02,3/9/2012,3/9/2012,1,189,185,1,10,Construct,,,,,,,
P,UE,M16,C01,PUEM16C01,PUEM16C01,3/19/2012,4/5/2012,18,618,616,2,105,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-2021-0002,"model has only one part, joining a and b in the table",,
P,UE,M16,W09,PUEM16W09,PUEM16W09,7/19/2012,7/19/2012,1,315,308,1,6,Construct,,,,,,,
P,UE,M16,W08,PUEM16W08,PUEM16W08,7/25/2012,7/25/2012,1,265,262,1,9,Construct,,,,,,,
P,UE,M16,W07,PUEM16W07,PUEM16W07,8/3/2012,8/3/2012,1,231,217,1,7,Construct,,,,,,,
P,UE,M16,W06,PUEM16W06,PUEM16W06,8/10/2012,8/10/2012,1,170,165,1,10,Construct,,,,,,,
P,UE,M16,W05,PUEM16W05,PUEM16W05,8/20/2012,8/20/2012,1,194,175,1,14,Construct,,,,,,,
P,UE,M16,W04,PUEM16W04,PUEM16W04,9/3/2012,9/3/2012,1,137,131,1,16,Construct,,,,,,,
P,UE,M16,W03,PUEM16W03,PUEM16W03,9/19/2012,9/19/2012,1,113,118,1,15,Construct,,,,,,,
P,UE,M16,W02,PUEM16W02,PUEM16W02,10/4/2012,10/5/2012,2,105,95,2,715,Construct,,,,,,,
P,UE,M16,W01,PUEM16W01,PUEM16W01,9/20/2014,9/20/2014,1,50,49,1,-920,Construct,,,,,,,
P,UE,M17,F03,PUEM17F03,PUEM17F03,3/14/2012,3/15/2012,2,584,569,2,42,Construct,,,,,"model has no F03, model needs foundation union and cuts to be performed.",FIXED,
P,UE,M17,F02,PUEM17F02,PUEM17F02,4/26/2012,4/27/2012,2,953,871,2,20,Construct,,,,,,,
P,UE,M17,F01,PUEM17F01,PUEM17F01,5/17/2012,6/28/2012,43,1156,1276,4,6,Construct,Code 02.,"Joining ""F01"", ""F01a"" and ""F01c"" under the name of ""F01"".",Code 02a.,P-P-S-2040-0001,"model has only one part, joining a,c in the table",,
