site,report,lift,qty_equipment,volume,concrete_start,concrete_finish,duration,calc_duration,calc_rate,rate,type
P,4198,PH1E2AW02,1,33,7/16/2013 19:36,7/16/2013 23:00,3.4,3.4,9.705882353,10,Redfern Request 325
P,4425,PH1E2AW02,2,117,8/5/2013 10:15,8/6/2013 6:27,20.2,20.2,5.792079208,6,Redfern Request 325
P,4084,PH1E2BW02,1,31.5,7/6/2013 15:34,7/6/2013 18:33,2.983333333,2.98,10.55865922,11,Redfern Request 325
P,7345,PH1E3AW01,1,128,6/18/2014 15:00,6/18/2014 23:00,8,8,16,16,Redfern Request 325
P,4274,PH1E3AW02,1,32,7/23/2013 16:51,7/23/2013 19:26,2.583333333,2.58,12.38709677,12,Redfern Request 325
P,4368,PH1E3AW02,1,299,7/30/2013 14:02,7/30/2013 22:03,8.016666667,8.02,37.2972973,37,Redfern Request 325
P,6876,PH1E3AW02,1,8.5,5/18/2014 23:30,5/19/2014 0:00,0.5,0.5,17,8,Redfern Request 325
P,5236,PH1E3AW03,1,10,10/8/2013 11:27,10/8/2013 12:00,0.55,0.55,18.18181818,18,Redfern Request 325
P,4346,PH1E3BW01,1,32,7/29/2013 20:55,7/29/2013 22:47,1.866666667,1.87,17.14285714,17,Redfern Request 325
P,4158,PH1E3BW02,1,32,7/12/2013 16:42,7/12/2013 20:22,3.666666667,3.67,8.727272727,9,Redfern Request 325
P,4160,PH1E3BW02,1,35,7/12/2013 20:04,7/13/2013 2:40,6.6,6.6,5.303030303,5,Redfern Request 325
P,4250,PH1E3BW02,2,456,7/20/2013 13:30,7/20/2013 23:50,10.33333333,10.33,44.12903226,44,Redfern Request 325
P,5235,PH1E3BW03,1,10,10/8/2013 10:42,10/8/2013 11:26,0.733333333,0.73,13.63636364,14,Redfern Request 325
P,4130,PH1E3CW02,1,272,7/10/2013 19:20,7/11/2013 7:56,12.6,12.6,21.58730159,22,Redfern Request 325
P,5234,PH1E3CW03,1,9,10/8/2013 10:09,10/8/2013 10:37,0.466666667,0.47,19.28571429,19,Redfern Request 325
P,7400,PH1W6AW01,1,258.5,6/21/2014 13:45,6/21/2014 23:55,10.16666667,10.17,25.42622951,25,Redfern Request 325
P,4145,PH1W6BW02,1,256,7/11/2013 16:42,7/12/2013 2:18,9.6,9.6,26.66666667,27,Redfern Request 325
P,4177,PH1W6CW02,1,468,7/13/2013 16:40,7/14/2013 2:35,9.916666667,9.92,47.19327731,47,Redfern Request 325
P,4051,PH1W6DW02,1,188,7/3/2013 5:20,7/3/2013 12:05,6.75,6.75,27.85185185,28,Redfern Request 325
P,4083,PH2E1AW02,1,16,7/6/2013 12:08,7/6/2013 13:35,1.45,1.45,11.03448276,11,Redfern Request 325
P,4162,PH2E1AW02,1,32,7/12/2013 20:30,7/12/2013 23:30,3,3,10.66666667,11,Redfern Request 325
P,4787,PH2E1BW02,1,24,9/3/2013 2:27,9/3/2013 3:59,1.533333333,1.53,15.65217391,16,Redfern Request 325
P,4306,PH2E1BW03b,1,672,7/25/2013 20:10,7/26/2013 18:20,22.16666667,22.17,30.31578947,30,Redfern Request 325
P,9059,PH2E1CW01,1,200,10/4/2014 18:50,10/5/2014 1:39,6.816666667,6.82,29.3398533,29,Redfern Request 325
P,4131,PH2E1CW02,1,24,7/10/2013 21:22,7/11/2013 1:15,3.883333333,3.88,6.180257511,6,Redfern Request 325
P,4714,PH2E1CW02,1,16,8/31/2013 12:20,8/31/2013 13:35,1.25,1.25,12.8,13,Redfern Request 325
P,4172,PH2E2AW02,1,32,7/12/2013 5:30,7/12/2013 11:35,6.083333333,6.08,5.260273973,5,Redfern Request 325
P,7774,PH2E2BW02,1,405.25,7/17/2014 15:15,,20.75,,19.53012048,20,Redfern Request 325
P,4178,PH2E2BW02,1,24,7/13/2013 18:17,7/13/2013 22:20,4.05,4.05,5.925925926,6,Redfern Request 325
P,4351,PH2E2BW02,1,34,7/29/2013 2:45,7/29/2013 11:00,8.25,8.25,4.121212121,4,Redfern Request 325
P,4624,PH2E3AW04,1,617,8/21/2013 12:30,8/21/2013 23:59,11.48333333,11.48,53.73004354,54,Redfern Request 325
P,4337,PH2E3AW05,1,576,7/27/2013 22:50,7/28/2013 4:15,5.416666667,5.42,106.3384615,106,Redfern Request 325
P,4827,PH2E3BW02,1,80,9/6/2013 16:38,9/6/2013 20:45,4.116666667,4.12,19.43319838,3,Redfern Request 325
P,4974,PH2E3BW02,1,24,9/18/2013 9:35,9/18/2013 23:55,14.33333333,14.33,1.674418605,Blank,Redfern Request 325
P,4605,PH2E3BW03a,1,32,8/20/2013 9:00,8/20/2013 14:15,5.25,5.25,6.095238095,6,Redfern Request 325
P,4605,PH2E3BW03a,1,32,8/28/2013 9:00,8/28/2013 14:15,5.25,5.25,6.095238095,6,Redfern Request 325
P,4263,PH2E3BW04,1,978,7/22/2013 17:15,7/23/2013 16:28,23.21666667,23.22,42.12491027,42,Redfern Request 325
P,4202,PH2E3CW02,1,16,7/16/2013 1:41,7/16/2013 5:00,3.316666667,3.32,4.824120603,5,Redfern Request 325
P,7389,PH2E3AW02,1,168,6/20/2014 0:48,6/20/2014 5:16,4.466666667,4.47,37.6119403,38,Redfern Request 325
P,4369,PH2W6CW04,1,1048,7/31/2013 14:40,8/1/2013 9:46,19.1,19.1,54.86910995,55,Redfern Request 325
P,4078,PH2W6CW06,2,1076,7/6/2013 8:12,7/7/2013 3:53,19.68333333,19.68,54.66553768,55,Redfern Request 325
P,4054,PH3C4AF02,1,20.5,7/3/2013 6:10,7/3/2013 7:00,0.833333333,0.83,24.6,25,Redfern Request 325
P,4108,PH3C4BF01,2,549,7/9/2013 10:31,7/10/2013 4:55,18.4,18.4,29.83695652,30,Redfern Request 325
P,4230,PH3C4CF02,1,40,7/18/2013 0:54,7/18/2013 2:30,1.6,1.6,25,25,Redfern Request 325
P,4235,PH3C4CF02,1,168,7/19/2013 8:47,7/19/2013 13:03,4.266666667,4.27,39.375,39,Redfern Request 325
P,4076,PH3C5AF02,1,13,7/5/2013 1:40,7/5/2013 2:40,1,1,13,13,Redfern Request 325
P,4278,PH3C5CF02,1,11,7/23/2013 3:04,7/23/2013 4:28,1.4,1.4,7.857142857,8,Redfern Request 325
P,7328,PH3E1BW02,1,405,6/17/2014 13:25,6/18/2014 4:10,14.75,14.75,27.45762712,27,Redfern Request 325
P,6951,PH3E1BW03,2,536,5/22/2014 9:25,5/23/2014 0:50,15.41666667,15.42,34.76756757,35,Redfern Request 325
P,6657,PH3E1BW04,2,762,4/12/2014 9:20,4/13/2014 0:11,14.85,14.85,51.31313131,51,Redfern Request 325
P,7231,PH3E1CW01,2,200,6/10/2014 17:04,6/11/2014 12:10,19.1,19.1,10.47120419,10,Redfern Request 325
P,6868,PH3E1CW02,1,262.5,5/15/2014 12:50,5/15/2014 22:50,10,10,26.25,26,Redfern Request 325
P,6596,PH3E1CW03,1,311.5,4/7/2014 13:30,4/8/2014 1:00,11.5,11.5,27.08695652,14,Redfern Request 325
P,7064,PH3E1CW03,1,12,5/29/2014 0:50,5/29/2014 3:00,2.166666667,2.17,5.538461538,6,Redfern Request 325
P,7395,PH3E2AW02,1,177.5,6/21/2014 8:25,6/21/2014 13:41,5.266666667,5.27,33.70253165,34,Redfern Request 325
P,7401,PH3E2AW02,1,10,6/21/2014 16:17,6/21/2014 17:17,1,1,10,10,Redfern Request 325
P,7485,PH3E2AW02,1,13.5,6/27/2014 14:31,6/27/2014 15:36,1.083333333,1.08,12.46153846,12,Redfern Request 325
P,7262,PH3E2AW03,1,246.75,6/12/2014 8:40,6/12/2014 19:35,10.91666667,10.92,22.60305344,23,Redfern Request 325
P,7783,PH3E2BW01,1,209.5,7/17/2014 1:00,7/17/2014 12:50,11.83333333,11.83,17.70422535,18,Redfern Request 325
P,Blank,PH3E2BW02,1,17,3/14/2014 18:06,3/14/2014 18:48,0.7,0.7,24.28571429,24.29,Redfern Request 325
P,6886,PH3E2BW02,1,17,5/16/2014 19:00,5/16/2014 20:00,1,1,17,16,Redfern Request 325
P,7416,PH3E2BW02,1,12.5,6/23/2014 13:17,6/23/2014 15:41,2.4,2.4,5.208333333,5,Redfern Request 325
P,Blank,PH3E2BW04,2,621,10/31/2013 18:30,11/1/2013 10:53,16.38333333,16.38,37.90437436,n.a,Redfern Request 325
P,5387,PH3E2BW05,1,808,10/18/2013 21:52,10/19/2013 13:40,15.8,15.8,51.13924051,51,Redfern Request 325
P,5300,PH3E2BW06,2,699,10/12/2013 15:10,10/13/2013 1:30,10.33333333,10.33,67.64516129,68,Redfern Request 325
P,Blank,PH3E2CW02,1,19,10/19/2013 13:20,10/19/2013 15:30,2.166666667,2.17,8.769230769,n.a,Redfern Request 325
P,4761,PH3E2CW05,1,476,9/2/2013 13:10,9/2/2013 20:20,7.166666667,7.17,66.41860465,9,Redfern Request 325
P,4673,PH3E2CW06,1,476,8/26/2013 18:38,8/27/2013 13:20,18.7,18.7,25.45454545,25,Redfern Request 325
P,4305,PH3E2CW10,1,668,7/25/2013 18:32,7/26/2013 10:10,15.63333333,15.63,42.72921109,43,Redfern Request 325
P,4142,PH3E2CW11,1,698.5,7/10/2013 5:58,7/10/2013 15:37,9.65,9.65,72.38341969,72,Redfern Request 325
P,6943,PH3E3AW01,1,133.5,5/21/2014 14:15,5/21/2014 22:20,8.083333333,8.08,16.51546392,17,Redfern Request 325
P,6411,PH3E3AW02a,1,246.5,3/21/2014 8:56,3/21/2014 14:40,5.733333333,5.73,42.99418605,43,Redfern Request 325
P,6552,PH3E3AW02a,1,7,4/3/2014 17:00,4/3/2014 17:45,0.75,0.75,9.333333333,5,Redfern Request 325
P,6545,PH3E3AW02a,1,16,4/3/2014 9:59,4/3/2014 11:48,1.816666667,1.82,8.80733945,4,Redfern Request 325
P,5878,PH3E3AW04,1,432,12/3/2013 19:20,12/4/2013 4:30,9.166666667,9.17,47.12727273,47,Redfern Request 325
P,4859,PH3E3AW06a,1,230,9/10/2013 4:15,9/10/2013 10:20,6.083333333,6.08,37.80821918,Blank,Redfern Request 325
P,4748,PH3E3AW06b,1,501,8/31/2013 17:49,9/1/2013 2:32,8.716666667,8.72,57.47609943,57,Redfern Request 325
P,4608,PH3E3AW07a,1,420,8/20/2013 14:15,8/21/2013 2:00,11.75,11.75,35.74468085,44,Redfern Request 325
P,4444,PH3E3AW08,1,624,8/6/2013 17:44,8/7/2013 6:00,12.26666667,12.27,50.86956522,51,Redfern Request 325
P,4058,PH3E3AW10,1,832,7/4/2013 20:35,7/5/2013 18:45,22.16666667,22.17,37.53383459,38,Redfern Request 325
P,Blank,PH3E3BF02,1,616,8/31/2013 1:45,8/31/2013 20:15,18.5,18.5,33.2972973,33,Redfern Request 325
P,7106,PH3E3BW02a,2,507.5,6/2/2014 18:00,6/3/2014 4:20,10.33333333,10.33,49.11290323,49,Redfern Request 325
P,7258,PH3E3BW02a,1,17,6/11/2014 0:25,6/11/2014 3:09,2.733333333,2.73,6.219512195,6,Redfern Request 325
P,7351,PH3E3BW02a,1,13.5,6/18/2014 23:50,6/19/2014 2:40,2.833333333,2.83,4.764705882,5,Redfern Request 325
P,6735,PH3E3BW03,2,595,4/21/2014 9:45,4/21/2014 23:25,13.66666667,13.67,43.53658537,44,Redfern Request 325
P,6440,PH3E3BW04,2,718.5,3/25/2014 8:29,3/25/2014 18:26,9.95,9.95,72.21105528,72,Redfern Request 325
P,5729,PH3E3BW09,1,1010,11/19/2013 21:55,11/20/2013 15:29,17.56666667,17.57,57.49525617,57,Redfern Request 325
P,5452,PH3E3BW11,1,931,10/25/2013 4:27,10/26/2013 3:05,22.63333333,22.63,41.13402062,41,Redfern Request 325
P,7261,PH3E3BW12,1,3,6/11/2014 3:30,6/11/2014 4:00,0.5,0.5,6,6,Redfern Request 325
P,7371,PH3E3CW01,1,7,10/24/2014 9:19,10/24/2014 10:42,1.383333333,1.38,5.060240964,5,Redfern Request 325
P,Blank,PH3E3CW02a,1,345,3/13/2014 9:15,3/13/2014 17:28,8.216666667,8.22,41.98782961,41.99,Redfern Request 325
P,5758,PH3E3CW05,1,574,11/21/2013 19:35,11/22/2013 10:25,14.83333333,14.83,38.69662921,39,Redfern Request 325
P,Blank,PH3E3CW07a,2,513,10/26/2013 20:10,10/27/2013 3:20,7.166666667,7.17,71.58139535,n.a,Redfern Request 325
P,5376,PH3E3CW08,1,564,10/18/2013 0:19,10/18/2013 16:05,15.76666667,15.77,35.77167019,14,Redfern Request 325
P,Blank,PH3E3CW09a,2,640,10/9/2013 11:35,10/10/2013 2:20,14.75,14.75,43.38983051,43,Redfern Request 325
P,4906,PH3E3CW11,1,582,9/12/2013 4:37,9/12/2013 17:00,12.38333333,12.38,46.9986541,47,Redfern Request 325
P,4441,PH3C4CF02,1,16,11/6/2013 6:00,11/6/2013 8:11,2.183333333,2.18,7.328244275,7,Redfern Request 325
P,7210,PH3W6EW04,1,59,6/9/2014 9:57,6/9/2014 12:15,2.3,2.3,25.65217391,26,Redfern Request 325
P,7847,PH3W6AW02,1,72,7/22/2014 11:40,7/22/2014 15:02,3.366666667,3.37,21.38613861,21,Redfern Request 325
P,6520,PH3W6AW03,1,103,4/1/2014 23:18,4/2/2014 2:31,3.216666667,3.22,32.02072539,16,Redfern Request 325
P,6366,PH3W6AW04a,1,135.5,3/17/2014 9:52,3/17/2014 15:45,5.883333333,5.88,23.03116147,23,Redfern Request 325
P,5834,PH3W6AW09a,1,176,11/28/2013 10:23,11/29/2013 4:12,17.81666667,17.82,9.87839102,10,Redfern Request 325
P,5834,PH3W6AW09b,1,176,11/28/2013 10:23,11/29/2013 4:12,17.81666667,17.82,9.87839102,10,Redfern Request 325
P,4226,PH3W6AW11,2,326.5,7/18/2013 16:20,7/18/2013 22:11,5.85,5.85,55.81196581,56,Redfern Request 325
P,4157,PH3W6AW12,1,184.5,7/12/2013 12:03,7/12/2013 20:20,8.283333333,8.28,22.27364185,22,Redfern Request 325
P,7283,PH3W6BW01,1,202,6/13/2014 9:15,6/13/2014 19:40,10.41666667,10.42,19.392,19,Redfern Request 325
P,5419,PH3W6BW03,1,457,10/21/2013 5:07,10/21/2013 14:50,9.716666667,9.72,47.03259005,14,Redfern Request 325
P,4123,PH3W6CF01,2,292,7/9/2013 5:30,7/9/2013 17:20,11.83333333,11.83,24.67605634,25,Redfern Request 325
P,6907,PH3W6CW01,2,441.5,5/19/2014 10:00,5/19/2014 22:30,12.5,12.5,35.32,35,Redfern Request 325
P,5687,PH3W6CW08a,1,557,11/15/2013 20:50,11/16/2013 12:15,15.41666667,15.42,36.12972973,36,Redfern Request 325
P,5687,PH3W6CW08b,1,557,11/15/2013 20:50,11/16/2013 12:15,15.41666667,15.42,36.12972973,36,Redfern Request 325
P,5687,PH3W6CW08c,1,557,11/15/2013 20:50,11/16/2013 12:15,15.41666667,15.42,36.12972973,36,Redfern Request 325
P,5513,PH3W6CW09a,1,582,10/29/2013 5:45,10/29/2013 17:30,11.75,11.75,49.53191489,50,Redfern Request 325
P,5282,PH3W6CW10,Blank,1066,10/10/2013 23:15,10/11/2013 1:00,1.75,1.75,609.1428571,41,Redfern Request 325
P,4568,PH3W6CW13a,1,848.5,8/15/2013 3:01,8/15/2013 22:46,19.75,19.75,42.96202532,19,Redfern Request 325
P,4568,PH3W6CW13b,1,848.5,8/15/2013 3:01,8/15/2013 22:46,19.75,19.75,42.96202532,19,Redfern Request 325
P,4568,PH3W6CW13c,1,848.5,8/15/2013 3:01,8/15/2013 22:46,19.75,19.75,42.96202532,19,Redfern Request 325
P,4323,PH3W6CW14a,1,735,7/26/2013 22:15,7/27/2013 5:56,7.683333333,7.68,95.66160521,96,Redfern Request 325
P,4323,PH3W6CW14b,1,735,7/26/2013 22:15,7/27/2013 5:56,7.683333333,7.68,95.66160521,96,Redfern Request 325
P,4323,PH3W6CW14c,1,735,7/26/2013 22:15,7/27/2013 5:56,7.683333333,7.68,95.66160521,96,Redfern Request 325
P,6449,PH3W6DF01,1,38.5,3/25/2014 19:42,3/25/2014 22:28,2.766666667,2.77,13.91566265,14,Redfern Request 325
P,5886,PH3W6DW04a,1,536,12/4/2013 9:29,12/5/2013 5:14,19.75,19.75,27.13924051,27,Redfern Request 325
P,5886,PH3W6DW04b,1,536,12/4/2013 9:29,12/5/2013 5:14,19.75,19.75,27.13924051,27,Redfern Request 325
P,5603,PH3W6DW07,1,468,11/8/2013 11:05,11/8/2013 23:22,12.28333333,12.28,38.10040706,38,Redfern Request 325
P,5444,PH3W6DW08a,1,244,10/23/2013 20:00,10/24/2013 2:41,6.683333333,6.68,36.50872818,37,Redfern Request 325
P,5444,PH3W6DW08b,1,244,10/23/2013 20:00,10/24/2013 2:41,6.683333333,6.68,36.50872818,37,Redfern Request 325
P,5352,PH3W6DW09a,1,253,10/16/2013 13:21,10/16/2013 20:16,6.916666667,6.92,36.57831325,37,Redfern Request 325
P,5352,PH3W6DW09b,1,253,10/16/2013 13:21,10/16/2013 20:16,6.916666667,6.92,36.57831325,37,Redfern Request 325
P,Blank,PH3W6DW11,1,204,3/12/2014 9:23,3/12/2014 14:56,5.55,5.55,36.75675676,36.76,Redfern Request 325
P,6530,PH3W6EW05,1,75.5,4/2/2014 10:57,4/2/2014 15:04,4.116666667,4.12,18.34008097,9,Redfern Request 325
P,4780,PH3W6EW08a,1,173,9/3/2013 21:52,9/4/2013 1:52,4,4,43.25,43,Redfern Request 325
P,4780,PH3W6EW08b,1,173,9/3/2013 21:52,9/4/2013 1:52,4,4,43.25,43,Redfern Request 325
P,4108,PH4C4BF01,2,549,7/9/2013 10:31,7/10/2013 4:55,18.4,18.4,29.83695652,30,Redfern Request 325
P,4659,PH4C5BF01,1,776,8/24/2013 7:41,8/24/2013 15:25,7.733333333,7.73,100.3448276,100,Redfern Request 325
P,4366,PH4C5BF02,1,720,7/31/2013 10:15,7/31/2013 10:54,0.65,0.65,1107.692308,29,Redfern Request 325
P,4129,PH4C5CF02,1,414,7/10/2013 13:25,7/10/2013 23:45,10.33333333,10.33,40.06451613,40,Redfern Request 325
P,4290,PH4C5CF02,1,16,7/22/2013 4:52,7/22/2013 8:45,3.883333333,3.88,4.120171674,4,Redfern Request 325
P,6547,PH4E1AW02,Blank,136.5,4/3/2014 11:32,4/3/2014 16:10,4.633333333,4.63,29.46043165,15,Redfern Request 325
P,6914,PH4E1AW02,1,38,5/19/2014 23:05,5/20/2014 2:15,3.166666667,3.17,12,12,Redfern Request 325
P,5808,PH4E1AW04,1,400,11/26/2013 11:35,11/27/2013 0:55,13.33333333,13.33,30,30,Redfern Request 325
P,6381,PH4E1AW07,1,248,3/18/2014 9:20,3/18/2014 16:15,6.916666667,6.92,35.85542169,36,Redfern Request 325
P,7646,PH4E1BW03,2,555.5,7/10/2014 8:00,7/10/2014 20:27,12.45,12.45,44.6184739,45,Redfern Request 325
P,7308,PH4E1BW04,2,713.5,6/14/2014 10:30,6/14/2014 22:30,12,12,59.45833333,59,Redfern Request 325
P,4251,PH4E1BW05,2,992,7/20/2013 14:30,7/21/2013 4:40,14.16666667,14.17,70.02352941,70,Redfern Request 325
P,9050,PH4E1CW02,1,36.5,10/3/2014 18:38,10/3/2014 22:15,3.616666667,3.62,10.0921659,10.08,Redfern Request 325
P,7436,PH4E1CW03,1,307,6/24/2014 22:00,6/25/2014 9:00,11,11,27.90909091,28,Redfern Request 325
P,6404,PH4E1CW04,2,420.5,3/20/2014 8:58,3/20/2014 15:40,6.7,6.7,62.76119403,63,Redfern Request 325
P,4528,PH4E2AF01,1,446,8/13/2013 17:15,8/14/2013 2:52,9.616666667,9.62,46.37781629,46,Redfern Request 325
P,4467,PH4E2AF02,2,1046,8/7/2013 1:20,8/7/2013 22:05,20.75,20.75,50.40963855,50,Redfern Request 325
P,7014,PH4E2AW02,1,38.5,5/27/2014 9:40,5/27/2014 12:35,2.916666667,2.92,13.2,12,Redfern Request 325
P,5680,PH4E2AW04,1,343,11/15/2013 13:50,11/16/2013 2:20,12.5,12.5,27.44,27,Redfern Request 325
P,5542,PH4E2AW05,1,472,10/31/2013 0:40,10/31/2013 14:00,13.33333333,13.33,35.4,35,Redfern Request 325
P,4700,PH4E2AW12,2,690,8/28/2013 15:22,8/29/2013 6:00,14.63333333,14.63,47.15261959,47,Redfern Request 325
P,4641,PH4E2AW13,2,752,8/22/2013 19:40,8/23/2013 8:20,12.66666667,12.67,59.36842105,59,Redfern Request 325
P,4581,PH4E2AW14,2,792.5,8/17/2013 14:20,8/18/2013 6:42,16.36666667,16.37,48.42158859,48,Redfern Request 325
P,7795,PH4E2BW03,1,477,7/18/2014 18:20,7/19/2014 10:45,16.41666667,16.42,29.05583756,29,Redfern Request 325
P,5831,PH4E2BW06,1,732,11/27/2013 3:45,11/27/2013 16:20,12.58333333,12.58,58.17218543,58,Redfern Request 325
P,5741,PH4E2BW07,1,672,11/20/2013 9:59,11/20/2013 21:33,11.56666667,11.57,58.09798271,58,Redfern Request 325
P,5662,PH4E2BW08,1,612,11/13/2013 3:15,11/13/2013 19:26,16.18333333,16.18,37.81668383,38,Redfern Request 325
P,Blank,PH4E2BW10,1,597,10/30/2013 15:20,10/31/2013 2:40,11.33333333,11.33,52.67647059,n.a,Redfern Request 325
P,5425,PH4E2BW11,1,806,10/22/2013 17:35,10/23/2013 14:20,20.75,20.75,38.84337349,12,Redfern Request 325
P,9766,PH4E2CW02,1,123,11/22/2014 17:57,11/22/2014 23:10,5.216666667,5.22,23.57827476,4,Redfern Request 325
P,4747,PH4E3AF01,1,644,9/1/2013 16:40,9/2/2013 5:23,12.71666667,12.72,50.64220183,51,Redfern Request 325
P,4151,PH4E3AF02,1,445,7/11/2013 2:30,7/11/2013 11:20,8.833333333,8.83,50.37735849,14,Redfern Request 325
P,7796,PH4E3AW02,Blank,5,7/18/2014 19:30,7/18/2014 20:00,0.5,0.5,10,5,Redfern Request 325
P,Blank,PH4E3AW03,1,352,2/26/2014 9:08,2/26/2014 16:50,7.7,7.7,45.71428571,45.71,Redfern Request 325
P,5846,PH4E3AW07,1,636,11/28/2013 23:40,11/29/2013 13:10,13.5,13.5,47.11111111,47,Redfern Request 325
P,Blank,PH4E3AW08,2,552,11/16/2013 16:40,11/17/2013 0:22,7.7,7.7,71.68831169,72,Redfern Request 325
P,5326,PH4E3AW11,2,872,10/14/2013 22:25,10/15/2013 1:15,2.833333333,2.83,307.7647059,n.a,Redfern Request 325
P,4921,PH4E3AW14,1,992,9/13/2013 1:25,9/13/2013 2:00,0.583333333,0.58,1700.571429,Blank,Redfern Request 325
P,5340,PH4E3BF01,2,704,10/15/2013 22:25,10/16/2013 12:37,14.2,14.2,49.57746479,50,Redfern Request 325
P,4600,PH4E3BF04a,2,896,8/19/2013 11:56,8/19/2013 12:30,0.566666667,0.57,1581.176471,37,Redfern Request 325
P,4600,PH4E3BF04b,2,896,8/19/2013 11:56,8/19/2013 12:30,0.566666667,0.57,1581.176471,37,Redfern Request 325
