DESTINATION_CODE_LINE1,description_mix,QUANTITY
UE-M16-W08,SMC P9,192.06000566482544
UE-M16-W08,SMC-P11,24.060001373291016
UE-M16-W09,Grout,0.5
UE-M16-W09,IMC-P9-P1,95.12000370025635
UE-M16-W09,SMC P9,211.00000619888306
UE-M17-W01, SMC P3 P ,104.00000047683716
UE-M17-W01,Grout,0.5
UE-M17-W02, IMC P14 P ,8
UE-M17-W02, SMC P56P ,200.16000413894653
UE-M17-W02,Grout,0.5
UE-M17-W03, IMC P14 P ,60.08000183105469
UE-M17-W03, SMC P56P ,208.2200050354004
UE-M17-W03,Grout,1
UE-M17-W04, IMC P14 P ,48
UE-M17-W04, SMC P56P ,264.08000326156616
UE-M17-W04,Grout,1
UE-M17-W05, IMC P14 P ,40
UE-M17-W05, SMC P56P ,344.0000023841858
UE-M17-W05,Grout,1
UE-M17-W06, IMC P14 P ,88
UE-M17-W06, SMC P56P ,290.2200050354004
UE-M17-W06,Grout,1
UE-M17-W08, IMC P14 P ,240.44001054763794
UE-M17-W08, IMC P18 ,8
UE-M17-W08, SMC P56P ,352.34001564979553
UE-M17-W08,Grout,2.5
UE-M17-W09 , IMC P14 P ,288.4400119781494
UE-M17-W09 , IMC P18 ,8
UE-M17-W09 , SMC P56P ,400.4800169467926
UE-M17-W09 ,Grout,1.5
UE-M17-C01A,Grout,1
UE-M17-C01A,IMC-P9-P1,432.3600215911865
UE-M17-C01A,SMC-P11-P1,448.2600234
UE-M17-C01B,Grout,2.5
UE-M17-C01B,IMC-P7 mass concrete,320.0400037765503
UE-M17-C01B,IMC-P9-P1,288.4100151062012
UE-M17-C01B,SMC-P11-P1,251.32001209259033
UE-M17-C01B,SMC-P12,636.0800113677979
UE-M17-C02,Grout,1.5
UE-M17-C02,SMC-P11-P1,452.2300202846527
UE-M17-C03 b,IMC P7,64.08000183105469
UE-M17-C03 b,SMC-P12,224.22000885009766
UE-M17-C03 c,Grout,0.5
UE-M17-C03 c,SMC-P11-P1,96.00000381469727
UE-M17-C03A,Grout,1
UE-M17-C03A,SMC P9,222.07000494003296
UE-M17-C04 a,Grout,1
UE-M17-C04 a,SMC-P11-P1,228.0000091
UE-M17-C04 b,Grout,2
UE-M17-C04 b,SMC P9,301.46001148223877
UE-M17-C04 b,SMC-P15-P1,8.020000457763672
UE-M17-C04 c,SMC-P11-P1,104.22000503540039
UE-M17-CO2C,LC-P2 LEVELING,8
UE-M17-CO2C,SMC-P11-P1,16.040000915527344
UE-M17-F01,Grout,1
UE-M17-F01,IMC P7,320.2000136375427
UE-M17-F01,IMC-P9-P1,16
UE-M17-F01,SMC-P11,578.2200212478638
UE-M17-F01,SMC-P11-P1,192.02000284194946
UE-M17-F01A,Grout,0.5
UE-M17-F01A,SMC-P11-P1,32.000000953674316
UE-M17-F01C,Grout,1
UE-M17-F01C,SMC-P11-P1,24
Ue-M17-F03,IMC-P7 mass concrete,168.0000033378601
Ue-M17-F03,SMC-P11-P1,32.000001430511475
Ue-M17-F03,SMC-P12,408.0800132751465
UE-M17-W07, IMC P14 P ,168.24000549316406
UE-M17-W07, SMC P56P ,312.2400119304657
UE-M17-W07,Grout,2
UE-M17-W07,SMC-P3,8
UE-M18-C01A,IMC P7,104.00000333786011
UE-M18-C01A,SMC-P3,264.12000703811646
UE-M18-C01B,Grout,1.5
UE-M18-C01B,IMC P9 P1,112.00000381469727
UE-M18-C01B,SMC P11 P1,188.04000425338745
UE-M18-C02,Grout,1
UE-M18-C02,SMC P11 P1,189.20000910758972
UE-M18-W01, SMC P3 P ,38
UE-M18-W01,Grout,1
UE-M18-W03, SMC P56P ,160.1000042
UE-M18-W03,Grout,1.5
UE-M18-W04, SMC P56P ,124.10000658035278
UE-M18-W04,Grout,0.5
UE-M18-W06, IMC P14 P ,32
UE-M18-W06, SMC P56P ,128.00000095367432
UE-M18-W06,Grout,0.5
UE-M18-W07, IMC P14 P ,48
UE-M18-W07, SMC P56P ,184.12000727653503
UE-M18-W07,Grout,0.5
UE-M18-W08, IMC P14 P ,104.02000045776367
UE-M18-W08, SMC P56P ,152
UE-M18-W08,Grout,0.5
UE-M18-W09, IMC P23 P ,112.02000188827515
UE-M18-W09, SMC P3 P ,248.10000658035278
UE-M18-W09, SMC P31 ,16
UE-M18-W09,Grout,1
UE-M18-C03A,SMC-P3,106
UE-M18-C03B,Grout,0.5
UE-M18-C03B,SMC P11 P1,112.00000476837158
UE-M18-C04A,SMC-P11-P1,100.00000095367432
UE-M18-C04B,Grout,0.5
UE-M18-C04B,IMC P9 P1,16.040000915527344
UE-M18-C04B,SMC P11 P1,112.00000429153442
UE-M18-C04C,SMC-P11-P1,48.00000190734863
UE-M18-F01,IMC P7,128.00000429153442
UE-M18-F01,IMC-P9-P1,64.06000280380249
UE-M18-F01,SMC P9,96.00000476837158
UE-M18-F01,SMC-P12,216.24000883102417
UE-M18-F01,SMC-P15,40.10000228881836
UE-M18-F02,IMC P7,128.06000471115112
UE-M18-F02,SMC-P12,312.10001373291016
UE-M18-W02, SMC P56P ,108.00000095367432
UE-M18-W02,Grout,0.75
UE-M18-W05, SMC P56P ,158.08000230789185
UE-M18-W05,Grout,0.5
UE-M19-W08, IMC P14 P ,160.00000429153442
UE-M19-W08, SMC P3 P ,8
UE-M19-W08, SMC P56P ,408.1600122451782
UE-M19-W08,Grout,2.25
UE-M19-C01A, IMC P14 P ,136.06000185012817
UE-M19-C01A, IMC P18 ,176.06000137329102
UE-M19-C01A, SMC P56 ,104
UE-M19-C01A, SMC P56P ,312.0600047111511
UE-M19-C01A, SMC-P50 ,16
UE-M19-C01A,Grout,1.5
UE-M19-C01B, IMC P14 P ,288.24001002311707
UE-M19-C01B, IMC P18 ,112.0400013923645
UE-M19-C01B, SMC P56 ,56.02000045776367
UE-M19-C01B, SMC P56P ,112.26000595092773
UE-M19-C01B,Grout,1.5
UE-M19-C02, IMC P14 P ,8
UE-M19-C02, IMC P18 ,16
UE-M19-C02, SMC P50 P ,312.0000023841858
UE-M19-C02, SMC-P50 ,96.00000047683716
UE-M19-C02,Grout,0.75
UE-M19-C02,SMC P11,16.000000476837158
UE-M19-C03b, SMC P56P ,258.1800045967102
UE-M19-C03b,Grout,0.75
UE-M19-C03A, SMC P3 P ,262.6200141906738
UE-M19-C03A,Grout,0.5
UE-M19-C03C, SMC P3 P ,20.020000457763672
UE-M19-C03C, SMC P56P ,136.0000045
UE-M19-C03C,Grout,1.25
UE-M19-C04b, SMC P56P ,256.18000864982605
UE-M19-C04b,Grout,0.5
UE-M19-C04A,IMC P7,40.00000047683716
UE-M19-C04A,SMC P11,200.02000379562378
UE-M19-C04C, SMC P3 P ,64.10000228881836
UE-M19-C04C,Grout,1.5
UE-M19-F01,IMC P7,440.08001613616943
UE-M19-F01,SMC P15 P1,16.040000915527344
UE-M19-F01,SMC-P3,700.1700305938721
UE-M19-W01, SMC P3 P ,115.00000047683716
UE-M19-W01, SMC P56P ,8
UE-M19-W02 , SMC P56P ,264.2200059890747
UE-M19-W02 ,Grout,1
UE-M19-W03 , IMC P18 ,3
UE-M19-W03 , SMC P3 P ,8
UE-M19-W03, SMC P56P ,288.0800042152405
UE-M19-W03,Grout,0.5
UE-M19-W04, SMC P56P ,240.1600046157837
UE-M19-W04,Grout,1
UE-M19-W05, SMC P56P ,360.08000802993774
UE-M19-W05,Grout,0.75
UE-M19-W07, IMC P14 P ,16
UE-M19-W07, SMC P56P ,448.2000150680542
UE-M19-W07,Grout,1
UE-M19-W09, IMC P14 P ,168.00000095367432
UE-M19-W09, SMC P56P ,493.24001955986023
UE-M19-W09,Grout,1
UE-M19-F02,IMC P7,272.0000071525574
UE-M19-F02,SMC-P3,484.04001808166504
UE-M20-C01A, IMC P14 P ,192.04000186920166
UE-M20-C01A, IMC P18 ,72.10000276565552
UE-M20-C01A, SMC P56P ,328.1400074958801
UE-M20-C01A,Grout,0.5
UE-M20-C01B, IMC P14 P ,232.40001153945923
UE-M20-C01B, IMC P18 ,84.17000389099121
UE-M20-C01B, SMC P56 ,24
UE-M20-C01B, SMC P56P ,80.00000095367432
UE-M20-C01B,Grout,0.5
UE-M20-C02,Grout,0.5
UE-M20-C02,IMC P9 P1,40
UE-M20-C02,SMC P11 P1,240.00000286102295
UE-M20-W06, IMC P18 ,112
UE-M20-W06, SMC P56 ,132.00000095367432
UE-M20-W06, SMC P56P ,8
UE-M20-W08, IMC P18 ,88.06000185012817
UE-M20-W08, SMC P56 ,184.20000505447388
UE-M20-W08, SMC P56P ,120.10000658035278
UE-M20-W08,Grout,0.5
UE-M20-W01, SMC P3 P ,86.00000047683716
UE-M20-W01,Grout,0.5
UE-M20-W02, IMC P18 ,16
UE-M20-W02, SMC P56 ,152.08000230789185
UE-M20-W03, IMC P18 ,24
UE-M20-W03, SMC P56 ,168.0000045
UE-M20-W04, IMC P14 P ,8
UE-M20-W04, IMC P18 ,40
UE-M20-W04, SMC P56 ,160.00000047683716
UE-M20-W05, IMC P18 ,56
UE-M20-W05, SMC P56 ,192.00000095367432
UE-M20-W07, IMC P18 ,144.02000498771667
UE-M20-W07, SMC P56 ,120.10000228881836
UE-M20-W07, SMC P56P ,152.18000411987305
UE-M20-W07,Grout,1
UE-M20-W09, IMC P14 P ,24
UE-M20-W09, IMC P18 ,144
UE-M20-W09, SMC P56 ,128.00000047683716
UE-M20-W09, SMC P56P ,188.02000498771667
UE-M20-W09,Grout,0.5
UE-M20-C03,SMC-P11-P1,96.02000141143799
UE-M20-C03A, SMC P56 ,8
UE-M20-C03A,Grout,1
UE-M20-C03A,SMC-P11-P1,179.15000820159912
UE-M20-C03B,SMC P9,190.32000923156738
UE-M20-C04A,SMC-P11-P1,168.18000888824463
UE-M20-C04B,SMC-P11,168.4200096130371
UE-M20-C04C,SMC-P11-P1,80.00000429153442
UE-M20-F01,IMC P7,200.0200057029724
UE-M20-F01,SMC-P12,368.08001136779785
UE-M20-F01A,SMC-P12,24.000000953674316
UE-M20-F01B,SMC-P11-P1,32.08000183105469
UE-M20-F02,IMC-P7 mass concrete,168.00000381469727
UE-M20-F02,SMC-P11,352.1000075340271
UE-M20-F02,SMC-P12,288.0200080871582
UE-M21-W08, IMC P18 ,144.1400032043457
UE-M21-W08, SMC P56 ,287.04000902175903
UE-M21-W09, IMC P18 ,224.06000471115112
UE-M21-W09, SMC P56 ,224.00000095367432
UE-M21-W09, SMC P56P ,16
UE-M21-C01A, IMC P18 ,312.1400032043457
UE-M21-C01A, SMC P56 ,252.02000045776367
UE-M21-C03, IMC P18 ,8
UE-M21-C03, SMC P56 ,104.16000366210938
UE-M21-W01, SMC P3 P ,70.00000238418579
UE-M21-W01,Grout,0.5
UE-M21-W02, IMC P18 ,16
UE-M21-W02, SMC P56 ,140.00000047683716
UE-M21-W03, IMC P18 ,32
UE-M21-W03, SMC P56 ,144.00000047683716
UE-M21-W03,Grout,0.5
UE-M21-W04, IMC P18 ,80.08000230789185
UE-M21-W04, SMC P56 ,120.10000419616699
UE-M21-C01b, SMC-P50 ,80.02000093460083
UE-M21-C01b,IMC P7,296.10000467300415
UE-M21-C02, IMC P18 ,144.00000047683716
UE-M21-C02, SMC P56 ,210.00000047683716
UE-M21-C04 c,Grout,1
UE-M21-C04 c,SMC-P11-P1,72.16000366210938
UE-M21-C04B,IMC P7,16
UE-M21-C04B,SMC-P11,208.0800061225891
UE-M21-C05A,Grout,1
UE-M21-C05A,SMC P9,161.00000667572021
UE-M21-C06A,IMC-P7 mass concrete,64.08000183105469
UE-M21-C06A,SMC-P11,56.02000045776367
UE-M21-C06A,SMC-P11-P1,4
UE-M21-C06A,SMC-P12,104.02000284194946
UE-M21-C06b,SMC-P11-P1,88.22000503540039
UE-M21-C6B,IMC P7,16
UE-M21-C6B,SMC-P12,200.0000033378601
UE-M21-F02,SMC-P12,46.00000047683716
UE-M21-F02A,IMC-P7 mass concrete,104.00000143051147
UE-M21-F02A,SMC-P11,342.0000033378601
UE-M21-F02b,IMC-P7 mass concrete,160.00000476837158
UE-M21-F02b,SMC-P11,344.0000071525574
UE-M21-F03A,IMC-P1 mass concrete,40
UE-M21-F03A,IMC-P7 mass concrete,112.00000381469727
UE-M21-F03A,SMC-P11,240.04000520706177
UE-M21-F03B,IMC-P7 mass concrete,197.00000524520874
UE-M21-F03B,SMC-P11,232.1000075340271
UE-M21-F03B,Test hielo,1
UE-M21-W05, IMC P18 ,80.10000228881836
UE-M21-W05, SMC P56 ,192.28000783920288
UE-M21-W06, IMC P18 ,104
UE-M21-W06, SMC P56 ,160.10000324249268
UE-M21-W07, IMC P18 ,132.15000343322754
UE-M21-W07, SMC P56 ,224.28000688552856
UE-M22-C01A, IMC P18 ,208.1200065612793
UE-M22-C01A, SMC P56 ,232.00000619888306
UE-M22-C01B, IMC P18 ,200.28001070022583
UE-M22-C01B, SMC P56 ,56.00000047683716
UE-M22-C05C, SMC P56 ,48.00000047683716
UE-M22-C06, IMC P14 P ,8
UE-M22-C06, IMC P18 ,10
UE-M22-C06, SMC P56 ,224.06000137329102
UE-M22-C06, SMC P56P ,104.18000411987305
UE-M22-C06,Grout,0.75
UE-M22-W01, SMC P3 P ,79.00000047683716
UE-M22-W01,Grout,0.5
UE-M22-W02, IMC P18 ,24
UE-M22-W02, SMC P56 ,110.00000047683716
UE-M22-W03, IMC P18 ,56
UE-M22-W03, SMC P56 ,144.00000095367432
UE-M22-W04, IMC P18 ,40
UE-M22-W04, SMC P56 ,192.07000422477722
UE-M22-W05, IMC P18 ,104.00000095367432
UE-M22-W05, SMC P56 ,176.00000143051147
UE-M22-W08, IMC P18 ,156.0800018310547
UE-M22-W08, SMC P56 ,232.04000234603882
UE-M22-W09, IMC P18 ,232.18000411987305
UE-M22-W09, SMC P56 ,264.0200049877167
UE-M22-F01B,IMC P7,248.10000562667847
UE-M22-F01B,SMC-P11,264.1200075149536
UE-M22-F01B,SMC-P12,8
UE-M22-F01C, SMC P3 P ,12
UE-M22-C02, IMC P18 ,32
UE-M22-C02, SMC P56 ,184.0800028
UE-M22-C03 a, IMC P18 ,464.0200014
UE-M22-C03 a, SMC P50 P ,15
UE-M22-C03 a, SMC P56 ,264.00000047683716
UE-M22-C03 b, IMC P18 ,32
UE-M22-C03 b, SMC P56 ,162
UE-M22-C04 a, IMC P18 ,256.0000009536743
UE-M22-C04 a, SMC P50 P ,8
UE-M22-C04 a, SMC P56 ,58
UE-M22-C04 b, IMC P18 ,48
UE-M22-C04 b, SMC P56 ,152.0000057220459
UE-M22-C06A,Grout,0.5
UE-M22-C06A,SMC-P11-P1,168.02000904083252
UE-M22-F02B,IMC P7,208.0000091
UE-M22-F02B,SMC-P12,328.0000138282776
UE-M22-F03A,IMC-P7 mass concrete,32
UE-M22-F03A,SMC-P11,129.00000190734863
UE-M22-F03A,SMC-P12,48.000000953674316
UE-M22-F03B,SMC-P11,72.00000286102295
UE-M22-F04,IMC-P7 mass concrete,192.02000379562378
UE-M22-F04,SMC-P11,118.00000476837158
UE-M22-F04,SMC-P12,288.0000047683716
UE-M22-F05,IMC-P7 mass concrete,112.00000190734863
UE-M22-F05,SMC-P11,272.00000047683716
UE-M22-W06, IMC P18 ,80
UE-M22-W06, SMC P56 ,160.00000190734863
UE-M22-W07, IMC P18 ,144.24000597000122
UE-M22-W07, SMC P56 ,184.08000683784485
UE-M23-F03A , IMC P18 ,72.00000047683716
UE-M23-F03A, SMC P56 ,128.00000190734863
UE-M23-F03A, SMC P56P ,8
UE-M23-W03, IMC P18 ,56
UE-M23-W03, SMC P56 ,176.0800028
UE-M23-W03,SMC-P3,16
UE-M23-W04, IMC P18 ,64.00000047683716
UE-M23-W04, SMC P56 ,160.0800028
UE-M23-C01A, IMC P18 ,264.0000009536743
UE-M23-C01A, SMC P56 ,256.0600028038025
UE-M23-C01A, SMC P56P ,16.000000476837158
UE-M23-C01A,Grout,1.75
UE-M23-C01b, IMC P18 ,192
UE-M23-C01b, SMC P56 ,112
UE-M23-C01b, SMC P56P ,18
UE-M23-C03, IMC P18 ,200.16000366210938
UE-M23-C03, SMC P56 ,504.20000553131104
UE-M23-C04, IMC P18 ,344.1600081920624
UE-M23-C04, SMC P56 ,476.12000703811646
UE-M23-F01A, IMC P18 ,584.1200177669525
UE-M23-F01A, LC-P2 LEVELING ,24
UE-M23-F01A, SMC P56 ,344.2400093078613
UE-M23-F01B, IMC P18 ,408.0000023841858
UE-M23-F01B, SMC P56 ,216.00000286102295
UE-M23-F01B, SMC P56P ,8
UE-M23-F03B, IMC P18 ,72
UE-M23-F03B, LC-P2 LEVELING ,14
UE-M23-F03B, SMC P56 ,297.0200037956238
UE-M23-F03B, SMC P56P ,8
UE-M23-F03B,Grout,0.5
UE-M23-F03B,SMC P28,8
UE-M23-F04B,IMC P7,96.20000457763672
UE-M23-F04B,LC-P2 LEVELING,31.000000476837158
UE-M23-F04B,SMC-P3,168.04000639915466
UE-M23-F05A,LC-P4 BACKFILL,16
UE-M23-F05A,SMC-P3,104.06000423431396
UE-M23-F05B, IMC P23 P ,24
UE-M23-F05B, SMC P3 P ,92.23000526428223
UE-M23-F05B,Grout,1
UE-M23-F05B,IMC P9 P1,16
UE-M23-W01, SMC P3 P ,86.00000095367432
UE-M23-W01,Grout,1
UE-M23-W02, IMC P18 ,20
UE-M23-W02, SMC P56 ,160.04000091552734
UE-M23-W08, IMC P18 ,240.11001110076904
UE-M23-W08, SMC P56 ,252.1000108718872
UE-M23-W09, IMC P18 ,280.0000009536743
UE-M23-W09, SMC P56 ,232.00000095367432
UE-M23-C02, IMC P18 ,32
UE-M23-C02, SMC P56 ,136.00000047683716
UE-M23-C02, SMC P56P ,148.0300006866455
UE-M23-C02,Grout,1
UE-M23-F01, IMC P14 P ,56.10000228881836
UE-M23-F01, SMC P50 P ,8
UE-M23-F01, SMC P56P ,148.0800028
UE-M23-F01,Grout,1
UE-M23-F02, IMC P14 P ,72.00000047683716
UE-M23-F02,Grout,0.75
UE-M23-F02,SMC P11,240.06000566482544
UE-M23-F02,SMC P11 P1,144.10000228881836
UE-M23-F04A,IMC P7,16
UE-M23-F04A,LC-P2 LEVELING,16
UE-M23-F04A,SMC-P3,176.00000143051147
UE-M23-F06,IMC-P7 mass concrete,256.0000047683716
UE-M23-F06,SMC P11,28.07000160217285
UE-M23-F06,SMC P12,85.04000329971313
UE-M23-F06,SMC-P11,332.0200090408325
UE-M23-F07,SMC-P11-P1,8
UE-M23-W05, IMC P18 ,128.04000544548035
UE-M23-W05, SMC P3 P ,8
UE-M23-W05, SMC P56 ,184.1400077342987
UE-M23-W06, IMC P18 ,112.00000190734863
UE-M23-W06, SMC P56 ,172.06000423431396
UE-M23-W07, IMC P18 ,224.06000185012817
UE-M23-W07, SMC P50 P ,8
UE-M23-W07, SMC P56 ,192.02000093460083
